sequence_id,stride,start,n_views,median_gap_deg,mean_gap_deg,p90_gap_deg,total_coverage_deg,trajectory_arc_length,rot_median,rot_p90,rot_mean,center_median_norm,center_p90_norm,trajectory_cosine,neighbor_rpe_rot,neighbor_rpe_trans,pose_gate,frame_indices
plantview__langdon_4__12-03-24,1,0,16,6.835638024977779,7.77016502075824,11.606229200170247,179.41967828667975,42.12795882416158,2.894968510152734,4.856116047428631,2.794601804936886,0.04802808825046612,0.07518880090523197,0.9938678069540519,1.6157226022340854,0.10263855163125944,PASS,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15"
plantview__langdon_4__12-03-24,1,60,16,6.835638024977779,7.77016502075824,11.606229200170247,179.41967828667975,42.12795882416158,5.187636256832174,13.570257906708903,7.1626097576767975,0.08572504313245738,0.17475708202972368,0.8524933342702832,2.087385727233489,0.2237144686424913,PASS,"60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75"
plantview__langdon_4__12-03-24,1,121,16,6.835638024977779,7.77016502075824,11.606229200170247,179.41967828667975,42.12795882416158,8.191030406847926,10.197493005750278,8.690743096950913,0.26021054725657233,0.4880455503980715,0.890611923029414,2.2806513883616173,0.32520416133392976,PASS,"121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136"
plantview__langdon_4__12-03-24,1,182,16,6.835638024977779,7.77016502075824,11.606229200170247,179.41967828667975,42.12795882416158,6.9764613081607205,11.14533654680803,8.329551496190641,0.1527013171863047,0.29689840026308023,0.9703166741316473,1.4596164315975055,0.19925510663939933,PASS,"182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197"
plantview__langdon_4__12-03-24,1,243,16,6.835638024977779,7.77016502075824,11.606229200170247,179.41967828667975,42.12795882416158,3.720671801576316,14.89870448877603,5.5201566835197085,0.03505044599084359,0.09033314875396015,0.9559842166751025,2.0090527194033956,0.1947572545395558,PASS,"243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258"
plantview__langdon_4__12-03-24,2,0,16,6.835638024977779,7.77016502075824,11.606229200170247,179.41967828667975,42.12795882416158,7.632551659190959,9.326141136380507,7.672665819535451,0.15699257442612813,0.22631818484041058,0.9872697766520898,3.225556851766976,0.14444979514899134,PASS,"0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30"
plantview__langdon_4__12-03-24,2,57,16,6.835638024977779,7.77016502075824,11.606229200170247,179.41967828667975,42.12795882416158,6.407889932207503,10.195211282556482,6.209495803042945,0.08104686993502094,0.15182251534235972,0.9868114607666031,2.9545904565327996,0.15655959492911897,PASS,"57,59,61,63,65,67,69,71,73,75,77,79,81,83,85,87"
plantview__langdon_4__12-03-24,2,115,16,6.835638024977779,7.77016502075824,11.606229200170247,179.41967828667975,42.12795882416158,3.948825048467766,7.233204342942257,4.279299823000553,0.06499982323084488,0.10903493791864743,0.9797986624786461,2.8600845305409464,0.16544669364343143,PASS,"115,117,119,121,123,125,127,129,131,133,135,137,139,141,143,145"
plantview__langdon_4__12-03-24,2,173,16,6.835638024977779,7.77016502075824,11.606229200170247,179.41967828667975,42.12795882416158,5.053089103591445,10.665112777924287,5.893294704058074,0.08773933385718995,0.12556004333250576,0.9913812865942094,3.8456196092710297,0.13114336080577854,PASS,"173,175,177,179,181,183,185,187,189,191,193,195,197,199,201,203"
plantview__langdon_4__12-03-24,2,231,16,6.835638024977779,7.77016502075824,11.606229200170247,179.41967828667975,42.12795882416158,4.599379597955883,11.647940685450232,5.772135821278784,0.05767386151802563,0.15517852880434846,0.9874826926476372,2.2864893373516044,0.15751333274042006,PASS,"231,233,235,237,239,241,243,245,247,249,251,253,255,257,259,261"
