sequence,dataset,threshold,n_windows,n_edges,success,cost,final_residual_mean_deg,final_residual_median_deg,final_residual_p90_deg,final_residual_max_deg
plantview__langdon_4__05-03-24,stride8,8,39,38,True,2.7114352912210997e-24,0.020347676199860963,0.01958826082343618,0.04315852900496149,0.055520817220630084
plantview__langdon_4__12-03-24,stride8,8,39,38,True,1.8255842708807447e-24,0.017051760247976815,0.0,0.04798857086592868,0.06411907009658349
plantview__langdon_4__15-04-24,stride8,8,39,38,True,1.1463173581419427e-24,0.01513638786338626,0.0,0.048176267714691474,0.062173482955719714
plantview__langdon_4__19-03-24,stride8,8,39,38,True,2.026781972765171e-24,0.01557504537728582,0.0,0.04421787355033751,0.06302840288448013
wheat3dgs__plot_461,stride8,8,4,3,True,8.707529995227636e-27,0.03249997742445229,0.03685508004811144,0.045932337360015826,0.048201651687991925
wheat3dgs__plot_467,stride8,8,4,3,True,5.531118483802432e-27,0.039349392420324876,0.041464976896124425,0.044817745190890386,0.04565593726458188
mustc__plot198__230613__ugv__pos00,stride8,8,2,1,True,7.848724071780121e-31,0.04367662433950957,0.04367662433950957,0.04367662433950957,0.04367662433950957
