sequence,dataset,threshold,n_windows,n_edges,success,cost,final_residual_mean_deg,final_residual_median_deg,final_residual_p90_deg,final_residual_max_deg
plantview__langdon_4__05-03-24,stride4,8,77,151,True,0.0015488045273207274,0.30165351899578957,0.18396618189693104,0.5674113284507885,6.586844112040052
plantview__langdon_4__12-03-24,stride4,8,77,151,True,0.0009828268667577949,0.25349797993187895,0.2198961215422746,0.4817279960915104,0.8854589004359535
plantview__langdon_4__15-04-24,stride4,8,77,151,True,0.0012800744811357141,0.2860557079074857,0.23173757438030587,0.5144788213659961,1.7102064096750982
plantview__langdon_4__19-03-24,stride4,8,77,151,True,0.0011588133915417637,0.2929935304585292,0.24820033393984656,0.5456244107355627,1.0407693936239517
wheat3dgs__plot_461,stride4,8,6,9,True,1.4467850196047108e-05,0.13854202078876676,0.1355438824085827,0.255066593773598,0.2699826423462726
wheat3dgs__plot_467,stride4,8,6,9,True,4.369183462337271e-06,0.06968170383198274,0.04559716717493331,0.1382057750291629,0.17802152984587213
mustc__plot198__230613__ugv__pos00,stride4,8,2,1,True,1.7747456996681627e-31,0.03987700358986415,0.03987700358986415,0.03987700358986415,0.03987700358986415
