frame_separation,n_pairs,median_deg,p90_deg,max_deg
1,30,1.4363346951432105,4.326803747328886,5.643371715768734
2,28,1.2664494588900284,4.766924561629531,5.660022883997056
3,26,0.845933866828019,5.319739605277557,5.9991087215199785
4,24,2.33249902008353,5.358009366208486,6.178195118047608
5,22,2.9346369540827726,4.846640140015324,5.7274441723994975
6,20,1.8847686084456359,5.160352110695873,8.55626718584689
7,18,0.3899688879079634,5.153683690365142,7.88210723091088
8,16,2.657223716704397,5.430245217497779,6.71213569037064
9,14,2.5475891032890163,5.092210172415593,5.917187044368859
10,12,1.5853536198890188,5.113463012850116,6.090986643066593
11,10,1.0525708652149004,3.5584963710813002,6.044896733029958
12,8,1.0775021620697378,4.712418413318353,7.0770998320517124
13,6,1.5629534756100196,5.00945627405928,7.053676916035233
14,4,1.1844558520147142,3.081540508399669,3.386952853129772
15,2,1.7220888908353724,3.0997600035036705,3.444177781670745
