frame_separation,n_pairs,median_deg,p90_deg,max_deg
1,90,2.0725137221539924,3.0204587784969563,7.061051584983295
2,84,1.5509460259620926,4.991146570943217,8.52257817352286
3,78,2.3117939901802074,6.8157489146356225,8.440219029445995
4,72,2.359075029383094,6.953069136463276,9.85982257570137
5,66,3.180556283278424,7.470427142576282,9.740196430776908
6,60,3.9823402883823937,7.194535065021385,11.050349974902222
7,54,5.141608275969138,7.395702445220145,12.28944706236861
8,48,5.058352845174349,8.453550540974051,11.468302992760677
9,42,5.533383274556604,8.319698248635047,13.33863851876136
10,36,5.473921766357232,9.032049237828573,10.098394665639978
11,30,5.916617984285654,9.596432379515727,10.979715198516663
12,24,6.384491221230835,9.934885187028758,10.597728171519444
13,18,6.32324345343463,11.149695013084933,11.4337217725991
14,12,6.320290235175245,11.53415237282973,11.695539325677286
15,6,6.6862920626781985,11.843355965018706,12.407188452364968
