frame_a,frame_b,frame_separation,relative_err_deg
0,1,1,1.1683727015063317
1,2,1,1.226494615514905
2,3,1,1.533392998835359
3,4,1,1.4738826690569244
4,5,1,0.9830372128381379
4,5,1,1.5052805477651814
5,6,1,1.8461324630528546
5,6,1,1.3965066904570198
6,7,1,1.8396561398015907
6,7,1,1.6072217127766042
7,8,1,1.3537097595539818
7,8,1,2.132455623983234
8,9,1,0.0
8,9,1,1.3823771680750339
8,9,1,1.5459510996694252
9,10,1,2.98289135469403
9,10,1,1.9299776616741624
9,10,1,2.659951027638916
10,11,1,0.6340198292047526
10,11,1,2.1559540662065846
10,11,1,2.3604218922581386
11,12,1,6.66033006214471
11,12,1,4.970529110875911
11,12,1,4.321418784067137
12,13,1,0.8545219559814302
12,13,1,0.0
12,13,1,0.9105951279868322
12,13,1,1.158125516240653
13,14,1,1.1340913883196422
13,14,1,0.9829467757838716
13,14,1,0.5018381043782237
13,14,1,1.7828118553948722
14,15,1,2.1307090473999355
14,15,1,1.3233178822610323
14,15,1,1.4742091180227241
14,15,1,0.8877003248104383
15,16,1,2.036890652986643
15,16,1,2.727153013252268
15,16,1,1.0397046985000924
16,17,1,1.272391384121881
16,17,1,0.4677269881599537
16,17,1,1.7024352960302767
16,17,1,1.9336470692315462
17,18,1,1.2789435340940283
17,18,1,1.0496575443141891
17,18,1,2.2236731405479673
17,18,1,2.0216464060819175
18,19,1,1.758394926883888
18,19,1,0.6195923837959689
18,19,1,2.5194486638486326
18,19,1,2.1297467874118277
19,20,1,1.3038255764998214
19,20,1,2.3594160086889095
19,20,1,2.490109243137584
20,21,1,1.1998670284893902
20,21,1,2.2949151342482894
20,21,1,1.794183244185997
20,21,1,1.9183655021146613
21,22,1,2.70142349533601
21,22,1,1.7299611398340213
21,22,1,2.1703087048865606
21,22,1,2.5866332579436446
22,23,1,1.8746675388021548
22,23,1,1.140680500423679
22,23,1,1.278786568162677
22,23,1,1.8797384728126671
23,24,1,4.6895373993482075
23,24,1,4.461695294035755
23,24,1,5.61921842510654
24,25,1,0.9649388387887423
24,25,1,0.9702530960655801
24,25,1,1.6646592785249783
25,26,1,1.2581567400535032
25,26,1,1.0143598685418478
25,26,1,1.7068129935777085
26,27,1,1.4186849053019792
26,27,1,1.1629365887632286
26,27,1,0.0
27,28,1,1.085956381025483
27,28,1,1.2406453404739353
28,29,1,1.4815943525175992
28,29,1,1.386132928745909
29,30,1,1.6797155991666306
29,30,1,1.6023274133467158
30,31,1,2.1393606957792235
30,31,1,1.8199614861842586
31,32,1,1.9735303282238263
32,33,1,1.376079790782822
33,34,1,1.6226071547748169
34,35,1,1.1755668032002076
0,2,2,1.090915660041304
1,3,2,2.310105357944396
2,4,2,0.5961123398179281
3,5,2,1.1342907578715782
4,6,2,1.581265929975478
4,6,2,0.7160534629139871
5,7,2,1.0658524978533706
5,7,2,1.7854460033983073
6,8,2,0.16489010563241005
6,8,2,0.9315897552133788
7,9,2,2.096838170408765
7,9,2,1.7362160104326827
8,10,2,1.9912841876635679
8,10,2,1.7176944242143333
8,10,2,2.9804463180722167
9,11,2,1.8630061609569992
9,11,2,1.5176610903537806
9,11,2,1.173927766681652
10,12,2,6.172870601204599
10,12,2,7.018436774517007
10,12,2,6.44511852434319
11,13,2,6.64968354474407
11,13,2,4.640914172163316
11,13,2,4.498631792454535
12,14,2,0.8890719204706868
12,14,2,1.704407868692007
12,14,2,0.0
12,14,2,1.4877113853472328
13,15,2,2.0168201217872666
13,15,2,0.0
13,15,2,1.7722527149836207
13,15,2,1.6875268342508836
14,16,2,1.0648140815312819
14,16,2,1.1472453182490425
14,16,2,0.732270601320535
15,17,2,2.8445371750790556
15,17,2,2.039997202752233
15,17,2,1.4145778351397142
16,18,2,0.6538698164233943
16,18,2,1.6616141008147443
16,18,2,1.5579198010000659
16,18,2,0.6964919890747624
17,19,2,1.3071030620417052
17,19,2,0.9129526261763138
17,19,2,0.0
17,19,2,1.9045423798304235
18,20,2,1.0958558318514722
18,20,2,1.96025726850582
18,20,2,1.0251006050420037
19,21,2,0.7496315829996377
19,21,2,1.2387315268551564
19,21,2,1.4730061776349648
20,22,2,2.518803949622704
20,22,2,1.7582219534423151
20,22,2,2.081625656807649
20,22,2,2.98560898019527
21,23,2,1.1030616914407412
21,23,2,1.937471086932215
21,23,2,1.3103585814582044
21,23,2,1.2642625377588428
22,24,2,4.696946183421722
22,24,2,3.4679334730598317
22,24,2,4.187634182369169
23,25,2,4.571776302048358
23,25,2,4.461850508544081
23,25,2,6.047064797338678
24,26,2,0.9296399177905765
24,26,2,0.8781716130729645
24,26,2,1.2095997319439402
25,27,2,1.6604502959215206
25,27,2,1.2776481010028606
25,27,2,1.1994412599187243
26,28,2,0.5419502640111563
26,28,2,0.9337093412068084
27,29,2,1.5331248142238665
27,29,2,0.9261603250809849
28,30,2,0.7398222137387217
28,30,2,0.6498883775780107
29,31,2,1.299834069071806
29,31,2,1.1072889791301956
30,32,2,0.3694105759561862
31,33,2,0.48077791870017217
32,34,2,1.7750449463170452
33,35,2,0.4778497085788376
0,3,3,1.9703860263584385
1,4,3,1.2848523768892148
2,5,3,1.0632482321940848
3,6,3,2.1777238420762552
4,7,3,1.4365882097261138
4,7,3,2.0374901330406323
5,8,3,1.595766113024806
5,8,3,1.719746638935358
6,9,3,1.9735022785601903
6,9,3,1.3982630838753667
7,10,3,1.6776941205609641
7,10,3,2.7425944982399595
8,11,3,0.0
8,11,3,1.4884242656252973
8,11,3,0.9730582332916807
9,12,3,8.522240334602401
9,12,3,5.852868106756516
9,12,3,4.176811981805435
10,13,3,6.186792732834633
10,13,3,6.711667828929806
10,13,3,6.530612530053308
11,14,3,7.39100598692568
11,14,3,6.208304931966315
11,14,3,5.158622771780361
12,15,3,2.2496982539457044
12,15,3,1.2306904318873142
12,15,3,1.5035851763792687
12,15,3,1.3848531808874245
13,16,3,2.044733173510801
13,16,3,2.383597378085648
13,16,3,1.8720131062257868
14,17,3,1.8531650966551894
14,17,3,0.0
14,17,3,1.1488470167283527
15,18,3,1.8765415125476892
15,18,3,3.4264645583155806
15,18,3,1.7163818831430886
16,19,3,1.7438529868882493
16,19,3,1.716254160910852
16,19,3,2.021522299011103
16,19,3,2.443662737050306
17,20,3,1.8326181207285943
17,20,3,2.224499923093714
17,20,3,2.6127525345684175
18,21,3,1.151576897477898
18,21,3,2.5008234214608915
18,21,3,1.5387655197838113
19,22,3,1.987669954442977
19,22,3,1.2935749252334088
19,22,3,2.444979639747373
20,23,3,1.1623561964038254
20,23,3,1.8060874595459944
20,23,3,1.4443730434725595
20,23,3,1.5016658549112805
21,24,3,5.640323230774756
21,24,3,5.276397068791495
21,24,3,6.4227224951890705
22,25,3,4.5692414102662635
22,25,3,3.3928686217110324
22,25,3,4.46406197256924
23,26,3,4.141521402287879
23,26,3,3.862912510103082
23,26,3,4.715776549024575
24,27,3,1.5283796884983034
24,27,3,1.3286787759454564
24,27,3,0.9021064512811974
25,28,3,1.2424700373724027
25,28,3,2.526267577217695
26,29,3,1.102451714336673
26,29,3,0.9204409831663198
27,30,3,1.1622241423361523
27,30,3,1.483651660433669
28,31,3,1.9238261178100238
28,31,3,1.8501341837728953
29,32,3,1.9460436501707399
30,33,3,1.2883514671806793
31,34,3,1.7455384898600674
32,35,3,1.1370574557319468
0,4,4,0.8975880849607489
1,5,4,1.9191531321449908
2,6,4,1.8024658538194855
3,7,4,1.4243967356640146
4,8,4,1.2988026869814355
4,8,4,0.43175861093003315
5,9,4,2.494958423552538
5,9,4,1.6414351632669884
6,10,4,1.9946530489947445
6,10,4,1.9361504969198517
7,11,4,0.0
7,11,4,1.1883950900694922
8,12,4,8.196647587407751
8,12,4,6.110361985357073
8,12,4,3.72531479973066
9,13,4,8.478482711484016
9,13,4,5.561701321221161
9,13,4,4.2353206813852475
10,14,4,6.867405394093768
10,14,4,8.242453081633203
10,14,4,7.269915336731253
11,15,4,7.936374380590629
11,15,4,5.3060126283223825
11,15,4,4.656094095918564
12,16,4,2.4173426602651986
12,16,4,2.299634176285577
12,16,4,1.3149953218954609
13,17,4,2.9529812204813166
13,17,4,0.8010941763337706
13,17,4,2.0396579312856304
14,18,4,0.9559941185669887
14,18,4,1.946452819497265
14,18,4,1.6217238254435584
15,19,4,3.4114441794532833
15,19,4,3.635399002696382
15,19,4,1.7599129554296251
16,20,4,1.917071118697959
16,20,4,1.323431118104759
16,20,4,1.1939979067817377
17,21,4,1.9248792975122728
17,21,4,1.5499237437848805
17,21,4,2.020260466390457
18,22,4,1.9748942596932748
18,22,4,1.791781926346054
18,22,4,1.5510548379954394
19,23,4,0.0
19,23,4,1.6739685145376355
19,23,4,1.7037529450050959
20,24,4,4.54932781469425
20,24,4,4.586991079427626
20,24,4,6.276615054067169
21,25,4,5.476322591050615
21,25,4,5.224762284730845
21,25,4,6.75771342459702
22,26,4,4.13933867409027
22,26,4,2.8935252349880547
22,26,4,3.270171821300108
23,27,4,3.991427411639484
23,27,4,4.4767764628989735
23,27,4,5.1141096629222975
24,28,4,0.8597306625299583
24,28,4,1.8080422053102008
25,29,4,0.8608443168091771
25,29,4,1.9163331774994954
26,30,4,1.0112645381060412
26,30,4,1.1519912150265075
27,31,4,1.796859023836684
27,31,4,2.075199445022523
28,32,4,0.9292901477805142
29,33,4,1.0532615944204298
30,34,4,1.4252676426102506
31,35,4,1.1432522266686556
0,5,5,1.5314594532622097
1,6,5,1.9867078082122587
2,7,5,1.6209413405479554
3,8,5,1.9655082610957373
4,9,5,2.5040691292733888
4,9,5,1.3966525727452834
5,10,5,1.0860250950160544
5,10,5,1.6133592949908695
6,11,5,1.1576502870160008
6,11,5,0.8052667882733536
7,12,5,6.758468109218937
7,12,5,4.637326261834376
8,13,5,8.156838792392406
8,13,5,5.9019727733323935
8,13,5,4.076727266500849
9,14,5,9.255774168280027
9,14,5,7.0644394759062275
9,14,5,4.893174440131057
