model,sequence_id,pose_fail,n_frames,n_valid,raw_absrel,raw_rmse,aligned_absrel,scale_mean,scale_cv
vggt,plantview__langdon_4__05-03-24,False,320,320,0.20499118309277287,0.43285591414924174,0.1800188170291814,1.2696273674129355,0.16880263954701125
da3_raw,plantview__langdon_4__05-03-24,False,320,320,0.5930198913931986,0.8176030986081425,0.20056211213124292,2.5688953760708615,0.17949162839081495
da3_calibrated,plantview__langdon_4__05-03-24,False,320,320,0.215699680817045,0.4226428202106929,0.2005621127550501,1.2042782594492931,0.17949162781613998
unidepth_raw,plantview__langdon_4__05-03-24,False,320,320,0.3490968595969367,0.4862197046266797,0.16361764035544063,1.0118794152943285,0.43535032566802856
unidepth_k_corrected,plantview__langdon_4__05-03-24,False,320,320,0.2943499814407392,0.45386215609741065,0.16361764032758264,1.1513336550780802,0.43535032596728385
vggt,plantview__langdon_4__12-03-24,True,320,320,0.29934509498100315,0.545749552282901,0.20291910479077124,1.5270858498975677,0.15766798154600836
da3_raw,plantview__langdon_4__12-03-24,True,320,320,0.5965410983454669,0.8722019810425735,0.20846659873035306,2.6826607363391863,0.16239791283893465
da3_calibrated,plantview__langdon_4__12-03-24,True,320,320,0.19985828215923243,0.42352428383159735,0.20846659991258815,1.257610579640247,0.1623979135062664
unidepth_raw,plantview__langdon_4__12-03-24,True,320,320,0.389888745412941,0.5445354603547177,0.1676466924328388,0.9657557226066252,0.5056931364215951
unidepth_k_corrected,plantview__langdon_4__12-03-24,True,320,320,0.29387230446770457,0.45600476149665836,0.16764669257450884,1.118772209766791,0.5056931360280988
vggt,plantview__langdon_4__13-02-24,False,340,340,0.17101455927871795,0.3369421784420393,0.1518477393805064,1.1345823449520667,0.1549027059377729
da3_raw,plantview__langdon_4__13-02-24,False,340,340,0.5474840524416483,0.6728682730125529,0.16404642352761772,2.2112351642522126,0.14831446399286935
da3_calibrated,plantview__langdon_4__13-02-24,False,340,340,0.1882986727294276,0.3222377098939094,0.16404642373472553,1.036609920088091,0.14831446426100156
unidepth_raw,plantview__langdon_4__13-02-24,False,340,340,0.37092579651066593,0.43192647844989135,0.13230465316176018,1.0858748252109223,0.4808871736105328
unidepth_k_corrected,plantview__langdon_4__13-02-24,False,340,340,0.3232069790403105,0.41264042038333476,0.13230465296730637,1.233052775047744,0.480887176600004
vggt,plantview__langdon_4__20-02-24,False,338,338,0.19284244777239973,0.37420583487453085,0.1949718377327602,1.1107314777082542,0.22114232775125142
da3_raw,plantview__langdon_4__20-02-24,False,338,338,0.5385815468053912,0.6988247620520559,0.20599070232391248,2.255452880804475,0.22179914522927058
da3_calibrated,plantview__langdon_4__20-02-24,False,338,338,0.23108983065286096,0.3906490827867984,0.2059907026928228,1.0573388454706392,0.2217991442243568
unidepth_raw,plantview__langdon_4__20-02-24,False,338,338,0.4366131668805318,0.5088539221627797,0.16703477187946658,0.9552897663243065,0.4942021227318544
unidepth_k_corrected,plantview__langdon_4__20-02-24,False,338,338,0.3519159535871668,0.4526956771516019,0.16703477189024088,1.0855420744691684,0.4942021240266852
