sequence_id,window_a,window_b,n_overlap,status,alignment_scale,alignment_rotation_deg,alignment_translation_norm,overlap_center_RMSE_before,overlap_center_RMSE_after,overlap_rotation_error_before,center_spread
mustc__plot198__230613__ugv__pos00,0,1,8,OK,0.792162943093582,88.05378420256858,0.6494432323875372,0.6703600883483887,0.03636467505145139,87.71464538574219,0.43842912
plantview__langdon_4__05-03-24,0,1,8,OK,1.0503155196429053,44.524370220953216,0.7650250937528721,0.7316808700561523,0.007555459498578737,45.72346496582031,0.19867158
plantview__langdon_4__05-03-24,1,2,8,OK,1.0117258023091065,48.272283673907246,0.7756242235061419,0.7522608637809753,0.008269164730363274,45.82442092895508,0.21103066
plantview__langdon_4__05-03-24,2,3,8,OK,0.9838563705640628,45.932244627373905,0.8273069970917482,0.8428326845169067,0.00913095069924196,49.70989227294922,0.21094908
plantview__langdon_4__05-03-24,3,4,8,OK,0.9730634768601476,44.00038565441089,0.7059769350199684,0.7129853963851929,0.009242411716151536,41.274436950683594,0.2054367
plantview__langdon_4__05-03-24,4,5,8,OK,1.0583695804564301,44.19407571929342,0.8018283971626942,0.7646344304084778,0.012734326379460714,46.067237854003906,0.20117007
plantview__langdon_4__05-03-24,5,6,8,OK,1.0621972012125962,48.732236580239395,0.8359450342762972,0.7890508770942688,0.00570902243956892,45.808570861816406,0.21606873
plantview__langdon_4__05-03-24,6,7,8,OK,1.055831793118722,50.79038431985487,0.9646938980033719,0.902241051197052,0.014638863278903557,51.05858612060547,0.22183609
plantview__langdon_4__05-03-24,7,8,8,OK,0.8629652802984771,41.71294307271989,0.6970003297508359,0.7601178884506226,0.009813012581561994,42.154296875,0.23564707
plantview__langdon_4__05-03-24,8,9,8,OK,0.962581658668502,57.58684919306886,0.755686971863784,0.7732449173927307,0.030095933044684314,46.127532958984375,0.23407215
plantview__langdon_4__05-03-24,9,10,8,OK,1.0368272900140958,47.76831856381596,0.8581326102048565,0.8201093077659607,0.0055501466472476025,45.57961654663086,0.22659823
plantview__langdon_4__05-03-24,10,11,8,OK,1.1695715001480094,49.92157142395651,1.0844958725166933,0.8829557299613953,0.017709627417481947,48.35362243652344,0.22493538
plantview__langdon_4__05-03-24,11,12,8,OK,0.7787398389548731,45.19258466193071,0.7041888626243289,0.8229344487190247,0.018148547562260364,44.02320861816406,0.2749437
plantview__langdon_4__05-03-24,12,13,8,OK,1.098710883852958,44.164428145788655,0.8988296695405504,0.7945589423179626,0.007826071026615205,48.06824493408203,0.21527319
plantview__langdon_4__05-03-24,13,14,8,OK,1.0071854146956283,44.77932189545682,0.8746190093438582,0.8423986434936523,0.006399810820603423,45.583168029785156,0.23752075
plantview__langdon_4__05-03-24,14,15,8,OK,1.0359128062883578,53.484501788679154,0.9845839327517742,0.9470819234848022,0.014821503385467364,50.392181396484375,0.23336959
plantview__langdon_4__05-03-24,15,16,8,OK,0.841688844664275,46.25503677527858,0.6655253088174806,0.7283033728599548,0.01610038786631825,40.80541229248047,0.24273619
plantview__langdon_4__05-03-24,16,17,8,OK,1.1469084829039513,42.5226129673292,0.8956543270857402,0.7594019770622253,0.012700187079104967,47.079566955566406,0.19289029
plantview__langdon_4__05-03-24,17,18,8,OK,0.9866544800389896,45.18974200315375,0.803964600618732,0.7934751510620117,0.006089444192525242,44.3848876953125,0.22416483
plantview__langdon_4__05-03-24,18,19,8,OK,1.0458221201977882,49.06518822341266,0.9147791700656944,0.8557131886482239,0.012503097834662656,48.555564880371094,0.22116584
plantview__langdon_4__05-03-24,19,20,8,OK,0.8876329971952628,42.751598776988125,0.6659084606042536,0.7101755738258362,0.006437964110628901,40.40837097167969,0.22337213
plantview__langdon_4__05-03-24,20,21,8,OK,1.0296050574593612,42.925493591688394,0.7781786565634381,0.7595018744468689,0.011632592558732524,45.98040008544922,0.19967794
plantview__langdon_4__05-03-24,21,22,8,OK,1.0246050191464957,46.03354563595342,0.78726902505779,0.7581994533538818,0.009557780478308176,45.34063720703125,0.21117412
plantview__langdon_4__05-03-24,22,23,8,OK,1.00578292948475,49.643442346122306,0.8554507798343869,0.8311916589736938,0.009449348010589434,49.535579681396484,0.20654663
plantview__langdon_4__05-03-24,23,24,8,OK,0.9434153174459518,44.49392135156205,0.6494606606645504,0.6678724884986877,0.00814905364951303,40.47337341308594,0.20658079
plantview__langdon_4__05-03-24,24,25,8,OK,1.0000214977677908,47.637230788150816,0.7514739994988631,0.7656469345092773,0.008058826527953788,48.34113311767578,0.19634728
plantview__langdon_4__05-03-24,25,26,8,OK,1.0793090375013281,47.05311690068329,0.7884807866336206,0.7289007902145386,0.00865235639507059,45.01340103149414,0.19740385
plantview__langdon_4__05-03-24,26,27,8,OK,0.9502570486526678,47.46779712305589,0.7883066828413614,0.8475292325019836,0.009195751230554355,50.63176727294922,0.20699596
plantview__langdon_4__05-03-24,27,28,8,OK,0.9683734100177993,44.050073501123364,0.6560509757270097,0.6659619808197021,0.008006991543587435,41.361000061035156,0.1982306
plantview__langdon_4__05-03-24,28,29,8,OK,1.0202413044764107,47.684774165041226,0.7580822943955049,0.7566031813621521,0.009025444882131738,49.209991455078125,0.18825188
