frame_index,n_windows,residual_median_deg,residual_max_deg,cross_window_dispersion_deg
4,2,2.794460298778808,3.952311042811335,2.5609131858602456
5,2,2.493807028711702,3.7119343841311854,2.7492590487758934
6,2,3.0668774169672735,3.3743154920663954,1.4673952919868798
7,2,2.2083169796923663,2.562135406332201,1.4271416033164857
8,3,4.064927025535738,4.075487944002303,0.4342064167099388
9,3,3.7990922163606773,4.351848533402678,1.9588012536913395
10,3,4.929890550200744,6.678930338630298,5.70124555161044
11,3,2.866595939692266,4.59023572248716,2.873879706380718
12,4,1.2965202510428209,5.1262089443282886,5.454675021177201
13,4,1.3548243754468514,5.113255292765782,5.3618378121279875
14,4,2.270251093563882,5.842943244898496,5.071915418037586
15,4,2.0451771398952197,6.4663398974241835,6.814658769939832
16,4,1.7862972078331576,4.1997596253182286,3.453777111121841
17,4,2.0672736929088265,5.03061815955397,3.5499798169079253
18,4,2.4795360466503125,4.109254425620967,3.8021897502737048
19,4,3.1936873454793435,5.674120248052257,3.157853849737459
20,4,2.757382888100876,4.010812908206138,3.253517377135808
21,4,3.1953402251061602,4.039312794980569,2.5009801678762678
22,4,1.2610043257572738,1.9148667275804752,1.0267377223119902
23,4,2.5201358383372985,3.2413918838817946,2.386606738625999
24,3,2.5079251088114125,3.4913081556949437,1.475675608949707
25,3,2.9609051360594845,3.3901764363747273,1.3965522887114297
26,3,1.819853768787691,2.9514675743299996,1.5183516743336656
27,3,2.4681126459169356,2.8233779279193425,1.0942122547771156
28,2,1.7076256965185328,2.253295995449917,1.3926115480389465
29,2,1.4682238696878327,1.9226224308762387,0.9134106937650903
30,2,1.8138165583288142,2.58304730114332,1.931444607374197
31,2,1.1283661762310524,1.2307525031531135,1.2770306889109113
