position,n,median,p90,mean,max
0,2,0.9302293369259176,1.3717091565876738,0.9302293369259176,1.482079111503113
1,2,1.0896623235556815,1.2971348612782705,1.0896623235556815,1.3490029957089176
2,2,2.8894363751944057,5.20098547534993,2.8894363751944057,5.778872750388811
3,2,0.0,0.0,0.0,0.0
4,2,1.850857732080016,3.3315439177440287,1.850857732080016,3.701715464160032
5,2,1.056180305009789,1.193115938866247,1.056180305009789,1.2273498473303615
6,2,1.3324933177718035,2.3984879719892462,1.3324933177718035,2.664986635543607
7,2,2.4478941948015507,4.406209550642791,2.4478941948015507,4.895788389603101
8,2,1.9245962594462316,3.464273267003217,1.9245962594462316,3.849192518892463
9,2,2.1625569241124443,3.8926024634023997,2.1625569241124443,4.3251138482248885
10,2,2.658549344823946,2.8856553432052254,2.658549344823946,2.9424318428005454
11,2,0.0,0.0,0.0,0.0
12,2,1.2699702281712144,2.285946410708186,1.2699702281712144,2.539940456342429
13,2,1.9516472362571777,2.7516308093675965,1.9516472362571777,2.951626702645201
14,2,1.6598403809027973,2.211746726075943,1.6598403809027973,2.3497233123692296
15,2,1.7574497555453379,3.1634095599816083,1.7574497555453379,3.5148995110906758
