position,n,median,p90,mean,max
0,6,4.987278918612567,5.278117492166678,3.823591935752521,5.45713160937634
1,6,4.707541065216066,5.12405994945904,3.9093637245337476,5.3434296230293565
2,6,2.8443337458232945,5.79025450441832,3.427961050734049,7.331627232656835
3,6,3.6463845031236515,5.267954627971477,3.6750127139451387,6.307469493555915
4,6,2.5774356426692275,3.6482912149046705,2.6226418754562077,3.9741505708698237
5,6,2.1297137676457067,3.593482953758416,2.127519926223507,4.161621070565329
6,6,1.83473564823423,4.5391973704322215,2.507723500477452,6.376825720094377
7,6,2.444182763541935,3.238248668890286,2.0962175882698655,3.623072611104911
8,6,2.1330054750553917,2.749852281557719,2.1755995915111814,3.1378117675048403
9,6,2.3517902770535204,2.7021823880453297,2.0394222385171923,2.863797349452525
10,6,2.4189364046176705,3.3506796401516192,2.385405955319568,3.639903973221358
11,6,2.0590239301331197,3.3370429130540726,1.9131958178383865,3.3805633822989973
12,6,3.353939766690282,4.769126120391769,3.490694384457892,4.89885918883885
13,6,3.431244171742832,5.318074971835605,3.5580456204830155,5.958443393894483
14,6,3.2488523806546454,5.899769604714553,3.3556605401450894,6.684344617334546
15,6,2.9776436532874455,6.736194645933758,3.587377453795627,6.999174923550581
