frame_index,n_windows,residual_median_deg,residual_max_deg,cross_window_dispersion_deg
4,2,0.7410395557515564,1.482079111503113,0.0
5,2,1.2881764215196396,1.3490029957089176,1.2049671895124676
6,2,1.3324933177718035,2.664986635543607,2.3144723960840787
7,2,0.0,0.0,0.0
8,2,3.7754539915262475,3.849192518892463,0.0
9,2,2.6050623054570528,4.3251138482248885,3.857134620000566
10,2,1.1873334234236732,2.3746668468473464,0.0
11,2,2.4478941948015507,4.895788389603101,4.771435285203132
12,2,0.0,0.0,0.0
13,2,1.4758133513226006,2.951626702645201,0.0
14,2,2.6460775775848875,2.9424318428005454,2.7936959736598874
15,2,1.7574497555453379,3.5148995110906758,0.0
