sequence,window_i,window_j,window_distance,n_overlap,n_inliers,Q_disp_med_deg,Q_disp_p90_deg,Q_disp_max_deg,weight,edge_status,q00,q01,q02,q10,q11,q12,q20,q21,q22
plantview__langdon_4__05-03-24,10,13,3,4,4,1.2933,1.6463,1.7957,0.145352,OK,0.950485,0.07957,-0.300411,-0.166013,0.947184,-0.274375,0.262713,0.310662,0.913494
plantview__langdon_4__05-03-24,11,12,1,12,12,0.0,1.3084,4.6332,1.0,OK,0.953495,-0.05134,-0.297003,-0.04527,0.949815,-0.309519,0.297989,0.30857,0.90332
plantview__langdon_4__05-03-24,11,13,2,8,8,0.8802,3.6215,3.7579,0.35458,OK,0.953114,0.083652,-0.290819,-0.047241,0.990381,0.130051,0.298901,-0.110215,0.947898
plantview__langdon_4__05-03-24,11,14,3,4,4,2.6489,3.757,3.889,0.091352,OK,0.948979,0.214432,-0.23121,-0.057172,0.838054,0.542584,0.310113,-0.501682,0.807555
plantview__langdon_4__05-03-24,12,13,1,12,9,0.0,3.3654,4.308,1.0,OK,0.999999,0.001156,-0.000829,-0.000682,0.901254,0.43329,0.001248,-0.433289,0.901254
plantview__langdon_4__05-03-24,12,14,2,8,8,1.5807,3.9577,4.4099,0.258332,OK,0.999885,0.012728,-0.008292,-0.001555,0.628751,0.777605,0.01511,-0.777502,0.628699
plantview__langdon_4__05-03-24,12,15,3,4,4,3.5781,4.4237,4.5063,0.072811,OK,0.999927,0.012059,-0.00042,-0.002745,0.261244,0.965269,0.01175,-0.965197,0.261258
plantview__langdon_4__05-03-24,13,14,1,12,12,0.0,2.1062,4.8984,1.0,OK,0.99996,-0.000249,0.008978,-0.003576,0.905954,0.42336,-0.00824,-0.423375,0.905917
plantview__langdon_4__05-03-24,13,15,2,8,8,0.0,3.403,5.2291,0.666667,OK,0.999693,-0.019621,0.015116,0.001316,0.651511,0.758638,-0.024734,-0.758386,0.651337
plantview__langdon_4__05-03-24,13,16,3,4,4,0.0,3.1106,4.4437,0.333333,OK,0.999842,0.004671,-0.017149,0.014122,0.377095,0.926067,0.010792,-0.926163,0.37697
plantview__langdon_4__05-03-24,14,15,1,12,12,1.2408,1.925,2.1257,0.44627,OK,1.0,0.000307,-0.000119,-0.000232,0.912756,0.408506,0.000234,-0.408506,0.912756
plantview__langdon_4__05-03-24,14,16,2,8,8,1.8164,2.0061,2.1882,0.236712,OK,0.996978,0.070219,-0.033218,-0.030057,0.743035,0.668577,0.071628,-0.665558,0.742901
plantview__langdon_4__05-03-24,14,17,3,4,3,0.9846,1.5102,1.7148,0.16796,OK,0.995494,0.071523,-0.062252,-0.048115,0.946755,0.318338,0.081706,-0.313909,0.945931
