sequence,window_i,window_j,window_distance,n_overlap,n_inliers,Q_disp_med_deg,Q_disp_p90_deg,Q_disp_max_deg,weight,edge_status,q00,q01,q02,q10,q11,q12,q20,q21,q22
plantview__langdon_4__05-03-24,32,33,1,8,6,0.615,4.6161,5.1759,0.41279,OK,0.999716,-0.01671,0.016989,0.02379,0.658823,-0.751922,0.001372,0.752113,0.659033
plantview__langdon_4__05-03-24,33,34,1,8,7,0.3511,1.4556,2.2537,0.493411,OK,0.954846,-0.05424,-0.29211,-0.159377,0.736245,-0.65768,0.250737,0.674538,0.694355
plantview__langdon_4__05-03-24,34,35,1,8,8,0.0,3.1183,3.8954,0.666667,OK,0.999786,0.020307,0.004015,-0.016033,0.636998,0.770699,0.013093,-0.770598,0.637187
plantview__langdon_4__05-03-24,35,36,1,8,8,0.0,1.5903,2.0167,0.666667,OK,0.999947,0.008819,-0.00539,-0.002937,0.742462,0.669882,0.00991,-0.66983,0.742448
plantview__langdon_4__05-03-24,36,37,1,8,8,2.0026,3.1096,3.4414,0.222027,OK,0.999855,-0.012719,0.011291,0.016928,0.679868,-0.733139,0.001648,0.733224,0.679985
plantview__langdon_4__05-03-24,37,38,1,8,8,0.3858,1.5915,1.8695,0.481055,OK,0.955373,-0.049871,-0.291161,-0.160763,0.739124,-0.654103,0.247825,0.671721,0.698122
plantview__langdon_4__12-03-24,0,1,1,8,8,0.9551,4.3017,4.3478,0.340993,OK,0.999878,-0.013395,0.008006,0.015056,0.693121,-0.720664,0.004104,0.720696,0.693239
plantview__langdon_4__12-03-24,1,2,1,8,8,0.0,1.9536,2.0697,0.666667,OK,0.956373,-0.040342,-0.289351,-0.157354,0.763356,-0.62652,0.246153,0.644717,0.723705
plantview__langdon_4__12-03-24,2,3,1,8,8,0.0,1.871,2.0827,0.666667,OK,0.999956,0.007243,0.005935,-0.009216,0.649056,0.760685,0.001657,-0.760706,0.649095
plantview__langdon_4__12-03-24,3,4,1,8,8,0.4575,1.4108,1.5862,0.457401,OK,0.999844,0.017456,-0.002577,-0.011822,0.771105,0.636599,0.0131,-0.636469,0.771191
