sequence,window_i,window_j,window_distance,n_overlap,n_inliers,Q_disp_med_deg,Q_disp_p90_deg,Q_disp_max_deg,weight,edge_status,q00,q01,q02,q10,q11,q12,q20,q21,q22
plantview__langdon_4__19-03-24,16,17,1,8,8,0.8608,2.6268,3.9493,0.358262,OK,0.999655,-0.018985,0.018143,0.026202,0.674818,-0.737519,0.001758,0.73774,0.675083
plantview__langdon_4__19-03-24,17,18,1,8,8,1.2725,1.7457,1.7988,0.293364,OK,0.945487,-0.054465,-0.321074,-0.167927,0.763194,-0.623968,0.279026,0.64387,0.712443
plantview__langdon_4__19-03-24,18,19,1,8,8,2.0761,3.828,4.9375,0.216727,OK,0.999977,0.006791,-0.000343,-0.004315,0.672644,0.739954,0.005256,-0.739935,0.672658
plantview__langdon_4__19-03-24,19,20,1,8,8,0.5339,1.3715,1.4782,0.434635,OK,0.999833,0.017815,-0.004177,-0.010328,0.737871,0.674863,0.015105,-0.674706,0.737932
plantview__langdon_4__19-03-24,20,21,1,8,8,0.0,2.636,3.1206,0.666667,OK,0.999584,-0.021185,0.01956,0.028698,0.665173,-0.746138,0.002796,0.746389,0.665504
plantview__langdon_4__19-03-24,21,22,1,8,8,0.0,1.8099,1.8291,0.666667,OK,0.941576,-0.065126,-0.330443,-0.16742,0.760818,-0.626998,0.292241,0.645689,0.705465
plantview__langdon_4__19-03-24,22,23,1,8,8,2.2888,3.6354,3.8496,0.202709,OK,0.999946,0.009301,0.004587,-0.009625,0.667741,0.744331,0.00386,-0.744335,0.667795
plantview__langdon_4__19-03-24,23,24,1,8,8,0.0,1.2702,1.8521,0.666667,OK,0.999845,0.01602,0.007255,-0.016765,0.743625,0.668386,0.005313,-0.668404,0.743779
plantview__langdon_4__19-03-24,24,25,1,8,8,0.5979,3.5603,3.7,0.417217,OK,0.999615,-0.022688,0.015954,0.02718,0.68665,-0.72648,0.005528,0.726634,0.687002
plantview__langdon_4__19-03-24,25,26,1,8,8,0.0,0.9881,1.7834,0.666667,OK,0.953791,-0.044887,-0.2971,-0.157096,0.768373,-0.620422,0.256132,0.638426,0.725816
plantview__langdon_4__19-03-24,26,27,1,8,8,2.3183,3.4382,4.3467,0.200905,OK,0.99997,0.003325,0.006975,-0.007389,0.675571,0.737258,-0.002261,-0.737287,0.675576
plantview__langdon_4__19-03-24,27,28,1,8,8,0.5693,1.404,1.8875,0.42481,OK,0.999861,0.014153,0.008783,-0.016443,0.754473,0.656125,0.002659,-0.656178,0.754601
plantview__langdon_4__19-03-24,28,29,1,8,8,1.9923,3.7265,4.1477,0.222791,OK,0.999786,-0.019594,-0.006634,0.008621,0.686171,-0.727389,0.018804,0.727176,0.686193
plantview__langdon_4__19-03-24,29,30,1,8,8,1.3564,2.0944,2.7429,0.282923,OK,0.96686,-0.027497,-0.253821,-0.140357,0.773216,-0.618415,0.213263,0.633546,0.743733
plantview__langdon_4__19-03-24,30,31,1,8,8,1.3184,3.0651,3.1056,0.287556,OK,0.999942,0.010107,0.003772,-0.009641,0.680341,0.732832,0.00484,-0.732826,0.680399
plantview__langdon_4__19-03-24,31,32,1,8,8,0.4205,1.6658,2.214,0.469312,OK,0.999904,0.013201,0.004192,-0.012599,0.741205,0.67116,0.005753,-0.671149,0.7413
plantview__langdon_4__19-03-24,32,33,1,8,5,0.5683,3.2455,3.386,0.425087,OK,0.999528,-0.021523,0.021936,0.030719,0.679658,-0.732885,0.000865,0.733213,0.679998
plantview__langdon_4__19-03-24,33,34,1,8,8,0.0,1.2414,1.2529,0.666667,OK,0.947552,-0.049806,-0.315696,-0.167294,0.764353,-0.622718,0.272318,0.642872,0.715932
plantview__langdon_4__19-03-24,34,35,1,8,8,0.0,2.5722,3.0443,0.666667,OK,0.999957,0.006391,0.006732,-0.00928,0.671731,0.740737,0.000212,-0.740768,0.671761
plantview__langdon_4__19-03-24,35,36,1,8,8,0.4818,1.2909,1.4815,0.449895,OK,0.999837,0.016045,0.008273,-0.017511,0.750647,0.660472,0.004387,-0.660509,0.750805
plantview__langdon_4__19-03-24,36,37,1,8,5,0.0,1.4776,2.0537,0.666667,OK,0.999715,-0.015659,0.01804,0.023873,0.681823,-0.731128,-0.000852,0.73135,0.682002
plantview__langdon_4__19-03-24,37,38,1,8,8,0.0,1.6208,1.6849,0.666667,OK,0.949304,-0.053968,-0.309692,-0.162032,0.760204,-0.629155,0.269383,0.647439,0.71292
wheat3dgs__plot_461,0,1,1,8,8,0.6367,1.4906,2.5294,0.407312,OK,0.999282,0.009502,-0.03668,0.00374,0.938587,0.345022,0.037705,-0.344912,0.937877
wheat3dgs__plot_461,1,2,1,8,8,0.8688,1.401,1.7598,0.35673,OK,0.999383,-0.019831,0.028974,0.028395,0.941866,-0.334788,-0.02065,0.335404,0.941848
wheat3dgs__plot_461,2,3,1,8,8,0.951,1.595,2.014,0.341699,OK,0.999997,-0.002122,0.000719,0.002178,0.995853,-0.09095,-0.000523,0.090952,0.995855
wheat3dgs__plot_467,0,1,1,8,8,1.8006,3.2237,3.4504,0.238042,OK,0.998873,0.028726,-0.037777,-0.011896,0.922142,0.386669,0.045943,-0.385784,0.921444
wheat3dgs__plot_467,1,2,1,8,8,0.9232,1.1335,1.2914,0.34664,OK,0.999677,-0.017955,0.017965,0.022796,0.946174,-0.322854,-0.011201,0.32316,0.946278
wheat3dgs__plot_467,2,3,1,8,8,0.9425,1.3551,1.6336,0.343207,OK,0.999947,-0.009565,0.003779,0.009954,0.992478,-0.122016,-0.002583,0.122047,0.992521
mustc__plot198__230613__ugv__pos00,0,1,1,8,8,2.8501,5.3057,6.6429,0.173155,OK,0.534646,-0.766857,-0.355082,0.604598,0.053532,0.79473,-0.590436,-0.639581,0.492261
