seq_id,date,offset,order,n_views,rot_median,rot_p90,center_median_norm,pose_gate
plantview__langdon_4__12-03-24,12-03-24,0,forward,16,2.894968510152734,4.856116047428631,0.04802808825046612,PASS
plantview__langdon_4__12-03-24,12-03-24,4,forward,16,1.6253857064106962,3.061136291623015,0.028164778941395546,PASS
plantview__langdon_4__12-03-24,12-03-24,8,forward,16,0.9885766533812279,2.3496998399829194,0.031223741712086018,PASS
plantview__langdon_4__12-03-24,12-03-24,12,forward,16,1.3899780168330134,2.2188473178043067,0.031678568149650296,PASS
plantview__langdon_4__12-03-24,12-03-24,16,forward,16,1.1133236792070855,2.248298654575479,0.03224455388071251,PASS
plantview__langdon_4__12-03-24,12-03-24,20,forward,16,5.304716455050789,13.712647595810457,0.0978272478089264,PASS
plantview__langdon_4__12-03-24,12-03-24,24,forward,16,8.73319739334972,9.615397028037352,0.2806042500034862,PASS
plantview__langdon_4__12-03-24,12-03-24,28,forward,16,4.976094468763698,12.962759052405612,0.07214024091569315,PASS
plantview__langdon_4__12-03-24,12-03-24,32,forward,16,3.1954078032128974,4.268184871433027,0.059902670146425474,PASS
plantview__langdon_4__12-03-24,12-03-24,36,forward,16,1.6959565147413715,3.510538824062579,0.0441286157458648,PASS
plantview__langdon_4__12-03-24,12-03-24,40,forward,16,1.4461642589182548,2.0616040613062685,0.03659703754483627,PASS
plantview__langdon_4__12-03-24,12-03-24,44,forward,16,1.3504603052421844,2.2795811728315334,0.02778457563185205,PASS
plantview__langdon_4__12-03-24,12-03-24,48,forward,16,2.1537864051494835,3.9626925519134986,0.01983545997816302,PASS
plantview__langdon_4__12-03-24,12-03-24,52,forward,16,5.441354156600261,14.007315817177645,0.06046841699186427,PASS
plantview__langdon_4__12-03-24,12-03-24,56,forward,16,8.891446231425935,9.5185162828482,0.29109624119014643,PASS
plantview__langdon_4__12-03-24,12-03-24,60,forward,16,5.187636256832174,13.570257906708903,0.08572504313245738,PASS
plantview__langdon_4__12-03-24,12-03-24,64,forward,16,2.974303438006377,4.316483770849322,0.05060509303742697,PASS
plantview__langdon_4__12-03-24,12-03-24,68,forward,16,1.2281994683286732,2.6237313074725197,0.03980196419712976,PASS
plantview__langdon_4__12-03-24,12-03-24,72,forward,16,1.9270178527397195,3.3438411579323972,0.03892155721105435,PASS
plantview__langdon_4__12-03-24,12-03-24,76,forward,16,1.7735982159677746,2.9098782261497744,0.0354248762318979,PASS
plantview__langdon_4__12-03-24,12-03-24,80,forward,16,2.013199081213221,4.037076506300767,0.024633723324560215,PASS
plantview__langdon_4__12-03-24,12-03-24,84,forward,16,5.194359975990324,13.814189667150249,0.0661389258267654,PASS
plantview__langdon_4__12-03-24,12-03-24,88,forward,16,8.913807662125663,9.264382029647702,0.3011025113193575,PASS
