seq_id,view_count,n_total,rot_median,rot_p90,center_median_norm,focal_error,pose_gate
mustc__plot198__230613__ugv__pos00,8,20,1.7888779804441757,3.5617311752156686,0.07787582946106225,-1,PASS
mustc__plot198__230613__ugv__pos00,16,20,1.677817959317621,3.834100551692246,0.05549935879196317,-1,PASS
mustc__plot198__230613__ugv__pos00,20,20,1.8444778265154922,3.3869751172456626,0.06287657152205502,-1,PASS
mustc__plot198__230613__ugv__pos01,8,20,3.0239811126012492,4.8880425230487425,0.06922434140833139,-1,PASS
mustc__plot198__230613__ugv__pos01,16,20,1.1976003993019613,3.5735884744614967,0.05554121100955706,-1,PASS
mustc__plot198__230613__ugv__pos01,20,20,1.38280142433726,3.9021031526232677,0.05485612368375099,-1,PASS
mustc__plot198__230613__ugv__pos02,8,20,0.36330414868974065,4.290130396416616,0.0886127028786732,-1,PASS
mustc__plot198__230613__ugv__pos02,16,20,2.642383823847838,4.929097322375222,0.054540242018014884,-1,PASS
mustc__plot198__230613__ugv__pos02,20,20,1.8960654908626053,4.618951922137534,0.04901928945298298,-1,PASS
mustc__plot198__230613__ugv__pos03,8,20,1.6875954454564628,3.359012983070775,0.06711478793116202,-1,PASS
mustc__plot198__230613__ugv__pos03,16,20,1.0301549203677776,3.8804610831806743,0.049044682328107596,-1,PASS
mustc__plot198__230613__ugv__pos03,20,20,1.4135868432421033,1.8737326442809001,0.040548813695584565,-1,PASS
