sequence_id,plant_id,dataset,date,canopy_fraction,background_fraction,density_class,view_count,n_frames,rot_median,rot_p90,rot_mean,center_median_norm,center_p90_norm,trajectory_cosine,neighbor_rpe_rot,neighbor_rpe_trans,focal_error,pose_gate,failure_type
wheat3dgs__plot_461,wheat_461,Wheat3DGS,2023-06-30,0.06424838327375043,0.9357516167262495,LOW,8,8,3.5893247166571345,5.1636670132151465,3.4573339306868363,0.160739126608211,0.21914667592084425,0.9841278550048994,2.7236317883611476,0.20091051967102644,0.9364787930983387,PASS,PASS
wheat3dgs__plot_461,wheat_461,Wheat3DGS,2023-06-30,0.06424838327375043,0.9357516167262495,LOW,16,16,3.791617320665111,6.014609334734977,3.5344412554657434,0.15816691846152803,0.24019771039284538,0.9801506856680687,2.2507960152018827,0.20641583246202388,0.9368777054543478,PASS,PASS
wheat3dgs__plot_461,wheat_461,Wheat3DGS,2023-06-30,0.06424838327375043,0.9357516167262495,LOW,24,24,3.5007135447935767,5.664121942082644,3.3202315543821435,0.13680390997842595,0.21202666472087012,0.9859655864305205,1.8042187153122813,0.1737483426376442,0.9369948967916045,PASS,PASS
wheat3dgs__plot_461,wheat_461,Wheat3DGS,2023-06-30,0.06424838327375043,0.9357516167262495,LOW,36,36,3.597057826192498,5.429769615658817,3.203971946582413,0.15160665119830433,0.2546837738246273,0.9922529274495834,1.7992572357751129,0.13723367387132376,0.9369957336756182,PASS,PASS
wheat3dgs__plot_462,wheat_462,Wheat3DGS,2023-06-30,0.06640312201247092,0.933596877987529,LOW,8,8,3.181175693630336,5.213327176185367,3.3808658925035115,0.11612801619089459,0.21225391280667036,0.9908350492051622,2.8904512599043843,0.1580369609693373,0.9335515170261928,PASS,PASS
wheat3dgs__plot_462,wheat_462,Wheat3DGS,2023-06-30,0.06640312201247092,0.933596877987529,LOW,16,16,3.695759125883746,6.35517729790568,3.57431674432394,0.09812513409717893,0.1601393743248017,0.9882653327932029,2.3473317771203304,0.15173166619737496,0.9336869715483904,PASS,PASS
wheat3dgs__plot_462,wheat_462,Wheat3DGS,2023-06-30,0.06640312201247092,0.933596877987529,LOW,24,24,3.2960213891274917,6.241455068129304,3.4162978012656016,0.09712093686775986,0.1538662635983886,0.9899438680815089,1.887310218866196,0.14756028743133817,0.9337801839311325,PASS,PASS
wheat3dgs__plot_462,wheat_462,Wheat3DGS,2023-06-30,0.06640312201247092,0.933596877987529,LOW,36,36,3.659062073518105,5.657078480541303,3.3734187066115653,0.111467172752892,0.19167047743415203,0.9944359539757798,2.0517243424223186,0.11827838002252669,0.9337191289251339,PASS,PASS
wheat3dgs__plot_463,wheat_463,Wheat3DGS,2023-06-30,0.07718023952134838,0.9228197604786517,MEDIUM,8,8,3.211446127919417,5.467876295118748,3.226760332035381,0.08630094802884636,0.2913451525519285,0.975594491401672,3.019950276190911,0.20494911102070087,0.9326353666728397,PASS,PASS
wheat3dgs__plot_463,wheat_463,Wheat3DGS,2023-06-30,0.07718023952134838,0.9228197604786517,MEDIUM,16,16,3.6732152414459156,6.13634686082603,3.383963135904863,0.08925119987899793,0.21670543284351562,0.9809593359619341,2.429749925904333,0.16225409596371643,0.9331907446739258,PASS,PASS
wheat3dgs__plot_463,wheat_463,Wheat3DGS,2023-06-30,0.07718023952134838,0.9228197604786517,MEDIUM,24,24,3.0808144939993802,6.099630550105804,3.3175416613143027,0.1017185322454066,0.2152834564582501,0.9861016298592736,1.9855453298865224,0.15805173503877937,0.9332743507404624,PASS,PASS
wheat3dgs__plot_463,wheat_463,Wheat3DGS,2023-06-30,0.07718023952134838,0.9228197604786517,MEDIUM,36,36,3.4519335515769245,5.638530351042636,3.2524279307994868,0.1167068499410204,0.2225185056140065,0.9927695074698135,2.1906734431358514,0.12139032943966939,0.9331630191610287,PASS,PASS
wheat3dgs__plot_464,wheat_464,Wheat3DGS,2023-06-30,0.0738668874917755,0.9261331125082244,LOW,8,8,3.151998946078171,4.965866751909941,3.046692505697411,0.1182444902839141,0.24568891432493764,0.9906319282680741,2.5104120422353122,0.14746777968766128,0.9299123933687502,PASS,PASS
wheat3dgs__plot_464,wheat_464,Wheat3DGS,2023-06-30,0.0738668874917755,0.9261331125082244,LOW,16,16,3.5859879011271185,5.819427066657537,3.145336042960832,0.12400861631530792,0.21101646476035768,0.9892657443420501,2.1417854397845986,0.15039883906643847,0.9303183560937702,PASS,PASS
wheat3dgs__plot_464,wheat_464,Wheat3DGS,2023-06-30,0.0738668874917755,0.9261331125082244,LOW,24,24,2.9192316466931363,5.53744558926231,3.0239892216672657,0.12092819868576993,0.2214927035526545,0.9894745974356752,1.6122809140626042,0.15304244717938267,0.9302384645517883,PASS,PASS
wheat3dgs__plot_464,wheat_464,Wheat3DGS,2023-06-30,0.0738668874917755,0.9261331125082244,LOW,36,36,3.214803609906265,5.033745860410658,3.0154755315451003,0.14697026665446233,0.22691855071510245,0.9950949809811083,1.66590861636637,0.10333571981634465,0.9303807933933785,PASS,PASS
wheat3dgs__plot_465,wheat_465,Wheat3DGS,2023-06-30,0.07165640952332081,0.9283435904766792,LOW,8,8,3.0799678847405656,4.2249518567914786,2.5294669462264854,0.1672437879658355,0.2676099275731276,0.9868701237126178,2.024393169869246,0.18356922141372475,0.9317576972196193,PASS,PASS
wheat3dgs__plot_465,wheat_465,Wheat3DGS,2023-06-30,0.07165640952332081,0.9283435904766792,LOW,16,16,3.1229952099767657,4.858488368892919,2.6611064608749686,0.13047253216477211,0.21282381006658832,0.9822973202037446,1.5781496374004638,0.18418557671902488,0.9320374938146199,PASS,PASS
wheat3dgs__plot_465,wheat_465,Wheat3DGS,2023-06-30,0.07165640952332081,0.9283435904766792,LOW,24,24,2.748045091989262,4.840111733165223,2.5811975530904046,0.1266099098425495,0.20853092431094095,0.985347106293703,1.2951095873271696,0.16309329065578684,0.9320518989382073,PASS,PASS
wheat3dgs__plot_465,wheat_465,Wheat3DGS,2023-06-30,0.07165640952332081,0.9283435904766792,LOW,36,36,2.949979366158063,4.582084991501606,2.6115459979275584,0.1298778770627281,0.22862592867728257,0.9945309656712045,1.2561688443831354,0.1109195356753521,0.9321582847203539,PASS,PASS
wheat3dgs__plot_466,wheat_466,Wheat3DGS,2023-06-30,0.0662428953937281,0.9337571046062719,LOW,8,8,3.20081896386521,4.529506172281365,3.0289551554843337,0.14105007052715413,0.26160113287819897,0.9747449733102531,1.853528857115774,0.201284038042672,0.9346784789998348,PASS,PASS
wheat3dgs__plot_466,wheat_466,Wheat3DGS,2023-06-30,0.0662428953937281,0.9337571046062719,LOW,16,16,3.357701759962529,5.277930298042277,3.0424140832657676,0.13004271404897363,0.2105537672156023,0.9825783290176179,1.7192195759649187,0.1704949294721795,0.9351215173888361,PASS,PASS
wheat3dgs__plot_466,wheat_466,Wheat3DGS,2023-06-30,0.0662428953937281,0.9337571046062719,LOW,24,24,3.21772302064626,5.072989045594834,2.9031296103437896,0.10385867718210909,0.226305211001232,0.9810361730696557,1.3512450384312384,0.1794364244001118,0.9352527922902555,PASS,PASS
wheat3dgs__plot_466,wheat_466,Wheat3DGS,2023-06-30,0.0662428953937281,0.9337571046062719,LOW,36,36,3.231845919370641,4.829997064906221,2.8800350136361588,0.11946442400080214,0.2539868583422754,0.9905279527890325,1.5352015091438085,0.13228660192128505,0.935364746575993,PASS,PASS
wheat3dgs__plot_467,wheat_467,Wheat3DGS,2023-06-30,0.08183145635313785,0.9181685436468622,MEDIUM,8,8,3.3395163192400306,4.1868244851122265,3.1660041212005945,0.12974524644797378,0.19977298371288857,0.9882295082122211,2.5781411248503434,0.15169742765294333,0.9311338617169512,PASS,PASS
wheat3dgs__plot_467,wheat_467,Wheat3DGS,2023-06-30,0.08183145635313785,0.9181685436468622,MEDIUM,16,16,3.3325159746267063,4.627384633865884,3.0542522152676295,0.0835979355671359,0.1883312524068553,0.9924995786412322,2.053625988338688,0.1290910107400359,0.9315703229698826,PASS,PASS
wheat3dgs__plot_467,wheat_467,Wheat3DGS,2023-06-30,0.08183145635313785,0.9181685436468622,MEDIUM,24,24,3.305624616503671,4.639625548575194,2.8078269501020556,0.08850352788696791,0.19501354504549853,0.9910182494003428,1.6138927981214817,0.1455647085240296,0.9317264680398977,PASS,PASS
