date,group,frame_count,resolution_w,resolution_h,file_size_mean,file_size_std,brightness_mean,brightness_std,saturation_mean,saturation_std,blur_laplacian_var_mean,blur_laplacian_var_std,first_frame_brightness,first_frame_blur,trajectory_path_length,trajectory_angular_span_deg,adj_baseline_mean_deg,adj_baseline_min_deg,adj_baseline_max_deg,adj_baseline_std_deg,capture_order,camera_center_x_range,camera_center_y_range,camera_center_z_range,intrinsics_shared,transforms_frame_count,transforms_n_intrinsic_clusters,transforms_intrinsic_clusters
05-03-24,PASS,320,1080,1080,709784.5,40414.63806159842,123.69089851379394,3.6800487600371588,0.023823014460504055,0.002615383455061213,73.96755924224854,20.520609224843888,123.36500549316406,43.45069122314453,38.86008109020193,179.5568229263754,7.955603698022251,2.9741655831550458,28.29666465240238,3.1077435284488524,CLOCKWISE,2.064601224611171,2.067985706292811,1.306719336898227,unknown,320,2,"{'1353.09': 160, '1371.82': 160}"
13-02-24,PASS,340,1080,1080,629324.65,25514.793399663264,129.28905563354493,3.9743632419990127,0.024711338710039853,0.005885890561527046,49.653724670410156,14.311091723534885,134.4587860107422,24.91566276550293,35.64079121173949,179.73605463024074,7.556471841730315,2.8634652569924066,14.290469284720261,2.463593028935545,CLOCKWISE,1.8104813096227175,1.806613291097674,1.2236793472051215,unknown,340,2,"{'1353.09': 160, '1371.82': 180}"
20-02-24,PASS,338,1080,1080,678359.25,24007.060142539318,126.31469383239747,3.6084411738163267,0.026063056848943233,0.006407171889339678,69.09757652282715,14.182441324662081,132.96495056152344,41.20466232299805,35.72243360800418,179.7083259483769,7.617976899880468,2.7303378428309752,15.88118908381228,2.5328571601281173,CLOCKWISE,1.8120070041263387,1.8123629282392408,1.236146841833961,unknown,338,2,"{'1353.09': 158, '1371.82': 180}"
12-03-24,FAIL,320,1080,1080,693658.15,39951.59745901908,122.03648414611817,2.325699066481751,0.02485348181799054,0.00381375422378252,73.99925785064697,25.18213993968603,125.4736328125,31.2247371673584,42.12795882416158,179.41967828667975,7.839569096666495,3.079762563267819,14.867177530315836,2.8469450933333547,CLOCKWISE,2.2519316188016067,2.264118019535852,1.4381834711348884,unknown,320,2,"{'1353.09': 180, '1371.82': 140}"
15-04-24,FAIL,318,1080,1080,717274.9,41480.1566859384,122.67622222900391,2.0736477410016216,0.023932921420782804,0.0035143024546511023,96.2304765701294,39.391378883803846,124.23297882080078,28.304109573364258,44.020161936355166,179.4911002647577,7.900370504649932,3.2761614865388533,15.647325105727017,2.886522287930031,CLOCKWISE,2.3573621397832145,2.360970869725576,1.4713496807171071,unknown,318,2,"{'1353.09': 178, '1371.82': 140}"
19-03-24,FAIL,320,1080,1080,767746.9,40915.72948989178,125.73734245300292,3.5803954697987033,0.025237358082085846,0.005442984611586535,83.88367519378662,31.87479523865737,127.4941177368164,30.654678344726562,44.03006197166412,178.83494951017067,7.834979676766213,3.1367302607111034,14.772459399703468,2.808022875467638,CLOCKWISE,2.365280179111336,2.362263453121552,1.452873147080401,unknown,320,2,"{'1353.09': 180, '1371.82': 140}"
