sequence_id,method,n_frames,rot_median,rot_p90,center_median_norm,center_p90_norm,trajectory_cosine,scale_estimated,orient_gate
mustc__plot198__230613__ugv__pos00,center_chain,20,2.5344012314238675,4.4000383421916265,0.0904324094229389,0.19161574339538523,0.9937634783092206,3.1990836533474183,PASS
mustc__plot198__230613__ugv__pos00,uniform_chain,20,2.5344012314238675,4.4000383421916265,0.09036911997751518,0.21892434452106213,0.99312005237264,3.4027190757303067,PASS
mustc__plot198__230613__ugv__pos00,per_window_scale,20,2.5344012314238675,4.4000383421916265,0.10396614880002175,0.2829595337351058,0.9917680040459917,3.390463727476079,PASS
mustc__plot198__230613__ugv__pos00,gauge_aware_original,20,2.6450925404267487,5.131917871892058,0.08950564108051648,0.2077079797721615,0.990390235127022,3.1928751690498216,PASS
plantview__langdon_4__05-03-24,center_chain,320,44.024579327882066,81.80646106883351,0.43527758935459326,0.8145289139340574,0.8344574876387945,1.234730381509826,FAIL
plantview__langdon_4__05-03-24,uniform_chain,320,44.024579327882066,81.80646106883351,0.4589144806993525,0.8732344613448065,0.8212695005163192,0.978362156074655,FAIL
plantview__langdon_4__05-03-24,per_window_scale,320,44.024579327882066,81.80646106883351,0.5211873423094833,0.905009048874035,0.8002185356273722,0.8787673127136033,FAIL
plantview__langdon_4__05-03-24,gauge_aware_original,320,44.048294779248394,81.7118257973001,0.42947785446776143,0.8172979097102059,0.8385447134845962,1.2407571909149222,FAIL
plantview__langdon_4__12-03-24,center_chain,320,48.72003295758151,85.7035269836787,0.48465111717170406,0.8640718554847202,0.8181605958275427,1.055402820396552,FAIL
plantview__langdon_4__12-03-24,uniform_chain,320,48.72003295758151,85.7035269836787,0.49061141874877534,0.8643904591952751,0.8139045399164696,1.139917949264533,FAIL
plantview__langdon_4__12-03-24,per_window_scale,320,48.72003295758151,85.7035269836787,0.4798735324622002,0.8085936381539827,0.8059906254823748,1.1563501749395777,FAIL
plantview__langdon_4__12-03-24,gauge_aware_original,320,48.74763774539907,85.81709155799636,0.4883710892939108,0.8667697045207873,0.8219042530456931,1.0589441171211043,FAIL
plantview__langdon_4__15-04-24,center_chain,318,53.065524255977984,88.74165966202874,0.5330207826204655,0.9121830919736279,0.8166200853343474,1.1731724969260184,FAIL
plantview__langdon_4__15-04-24,uniform_chain,318,53.065524255977984,88.74165966202874,0.5112074849082008,0.8652082720983878,0.8067433730887017,1.1703756076567962,FAIL
plantview__langdon_4__15-04-24,per_window_scale,318,53.065524255977984,88.74165966202874,0.5192483656513072,0.9147394122014858,0.8066682339546519,1.1477367253540962,FAIL
plantview__langdon_4__15-04-24,gauge_aware_original,318,53.09920911105454,88.84213061303946,0.535306742771116,0.9045596796035078,0.813492964930771,1.1766134563687989,FAIL
plantview__langdon_4__19-03-24,center_chain,320,44.23847582929193,81.8258155892968,0.44749208605609714,0.8684033051818832,0.8343882765887268,1.2437385482553396,FAIL
plantview__langdon_4__19-03-24,uniform_chain,320,44.23847582929193,81.8258155892968,0.4781397447892164,0.8920449561981028,0.8162384421025652,1.0883178822815973,FAIL
plantview__langdon_4__19-03-24,per_window_scale,320,44.23847582929193,81.8258155892968,0.5330510981981942,0.9495678643750867,0.78472843442826,0.9705504196118648,FAIL
plantview__langdon_4__19-03-24,gauge_aware_original,320,44.2945567719285,81.82520557699532,0.4469889225655346,0.8622613406079467,0.8342084430317547,1.2466539041507578,FAIL
wheat3dgs__plot_461,center_chain,36,3.145043503042309,5.697947536312736,0.14420401447058448,0.35169188522962724,0.9942488946409084,3.4578749201586865,PASS
wheat3dgs__plot_461,uniform_chain,36,3.145043503042309,5.697947536312736,0.1602465212098062,0.26616637512393326,0.9942126586320431,4.0341014627808525,PASS
wheat3dgs__plot_461,per_window_scale,36,3.145043503042309,5.697947536312736,0.16521056879924567,0.27458990240026093,0.9937042607228853,3.904269878979933,PASS
wheat3dgs__plot_461,gauge_aware_original,36,3.2777914305346396,5.699963746368441,0.16633888796426466,0.3508932639077691,0.9920722629825411,3.4160273201960916,PASS
wheat3dgs__plot_467,center_chain,36,3.5277306711377987,4.89903843752111,0.17180716056304407,0.34295994057486484,0.9916750438060571,3.192489769051492,PASS
wheat3dgs__plot_467,uniform_chain,36,3.5277306711377987,4.89903843752111,0.179537422842463,0.3523848902776343,0.9915728964020326,3.8888533156955,PASS
wheat3dgs__plot_467,per_window_scale,36,3.5277306711377987,4.89903843752111,0.21466791349193717,0.3223714245398356,0.9907141625355246,3.690127183599702,PASS
wheat3dgs__plot_467,gauge_aware_original,36,3.367544272687806,4.900709627676056,0.18643633572946383,0.34358190429014485,0.9899504559466036,3.1503714109483676,PASS
