i,j,k,h_ac,h_ab,h_bc,residual_deg
0,1,2,2,1,1,0.075
0,1,3,3,1,2,0.2641
0,2,3,3,2,1,0.3958
1,2,3,2,1,1,0.1636
1,2,4,3,1,2,0.312
1,3,4,3,2,1,0.5786
2,3,4,2,1,1,0.4146
2,3,5,3,1,2,0.1767
2,4,5,3,2,1,0.1895
3,4,5,2,1,1,0.1445
