window,gauge_vs_gt_after_A_deg,gauge_shape_err_deg
0,3.936,6.6209
1,0.9648,4.7163
2,1.243,4.0915
3,2.1304,4.1695
4,1.2115,4.1678
5,0.4081,4.4923
