window,gauge_vs_gt_after_A_deg,gauge_shape_err_deg
0,3.1714,17.1178
1,1.0556,16.3107
2,0.9124,15.7302
3,1.7768,15.525
4,1.1843,15.7376
5,0.4267,16.1261
