sequence,dataset,threshold,n_triangles,cycle_err_median_deg,cycle_err_p90_deg,cycle_err_max_deg
plantview__langdon_4__05-03-24,stride4,8,75,0.37295065087344936,1.1108899621026436,7.181295331383988
plantview__langdon_4__12-03-24,stride4,8,75,0.42939730212524846,0.8570754095642121,1.2903262645272433
plantview__langdon_4__15-04-24,stride4,8,75,0.4397667420149574,1.17178326103843,1.940634512374039
plantview__langdon_4__19-03-24,stride4,8,75,0.5049123828187918,1.0657832161255816,1.5256420945444855
wheat3dgs__plot_461,stride4,8,4,0.2778564683687069,0.4602430052532833,0.5225037364548497
wheat3dgs__plot_467,stride4,8,4,0.1540563438720273,0.3392870047897001,0.41457912466478014
mustc__plot198__230613__ugv__pos00,stride4,8,0,-1,-1,-1
