sequence_id,window_a,window_b,n_overlap,n_inliers,s_center,rmse_center,s_dense,dense_confidence,n_dense_frames,s_ratio
mustc__plot198__230613__ugv__pos00,0,1,8,8,1.247597804593692,0.053903496907648424,0.746018373379888,26.82540578615751,8,0.5979638394946082
plantview__langdon_4__05-03-24,0,1,8,8,0.949834847681013,0.013875700087241807,0.7763525757775239,198.95472010519106,8,0.8173553304271373
plantview__langdon_4__05-03-24,1,2,8,8,0.9871954315525089,0.008605128171141257,0.6669280727040359,289.5970030945725,8,0.6755785646771016
plantview__langdon_4__05-03-24,2,3,8,8,1.0125972014240494,0.018638679687696117,0.6530373217005765,181.4293915728178,8,0.6449132199676122
plantview__langdon_4__05-03-24,3,4,8,5,1.0321295269995685,0.012604440398834012,0.8500942719843497,389.6561223127646,5,0.8236313851572479
plantview__langdon_4__05-03-24,4,5,8,8,0.9354145663741003,0.030129691143790334,0.7556647558906598,363.4644860271437,8,0.8078394147953079
plantview__langdon_4__05-03-24,5,6,8,5,0.9371664826253687,0.00632341568641559,0.6327297963102843,128.41159637574876,5,0.675151969304068
plantview__langdon_4__05-03-24,6,7,8,8,0.9440174548477186,0.014752893949939144,0.6313391327146299,221.0685672526023,8,0.6687790882176776
plantview__langdon_4__05-03-24,7,8,8,8,1.1559670420299566,0.014576308020489138,0.8326281364889443,150.75425039699093,8,0.7202870896965996
plantview__langdon_4__05-03-24,8,9,8,8,0.9189122271370732,0.12157891028082791,0.7895051885151739,30.579530773807715,8,0.8591736677342136
plantview__langdon_4__05-03-24,9,10,8,6,0.9655818421652871,0.0078652425696248,0.6068920533306005,214.5036678908526,6,0.6285247162163531
plantview__langdon_4__05-03-24,10,11,8,8,0.8516270301131809,0.01702896005868066,0.6538809880046099,37.470394359191054,8,0.7678020599201852
plantview__langdon_4__05-03-24,11,12,8,8,1.2754889535666234,0.02693935499613983,0.8549840030424144,37.52489219220112,8,0.6703186261642174
plantview__langdon_4__05-03-24,12,13,8,8,0.9059149510836869,0.02249680072222488,0.7178148883229315,53.16056618564507,8,0.7923645453298418
plantview__langdon_4__05-03-24,13,14,8,8,0.9922992064701578,0.006528869161935711,0.6082950887243914,50.87023731779907,8,0.6130157968061271
plantview__langdon_4__05-03-24,14,15,8,8,0.9612494145240654,0.01970806664341209,0.6185012195286755,35.90395130775666,8,0.6434346905011207
plantview__langdon_4__05-03-24,15,16,8,8,1.179037305191868,0.027412199207397337,0.934164041883897,46.747767855705966,8,0.7923108435757917
plantview__langdon_4__05-03-24,16,17,8,8,0.8669844981797706,0.0207085237981166,0.7483350976818023,49.862665994952735,8,0.8631470334855212
plantview__langdon_4__05-03-24,17,18,8,8,1.0128920882478112,0.006509461283209438,0.6629912761751287,376.54572589214627,8,0.6545527246856362
plantview__langdon_4__05-03-24,18,19,8,8,0.9539310690457036,0.012357140000649289,0.6722362185192218,87.29670991263826,8,0.7047010421745834
plantview__langdon_4__05-03-24,19,20,8,7,1.127054022003343,0.012609296213082577,0.8809707334589976,170.99147078152834,7,0.7816579474097157
plantview__langdon_4__05-03-24,20,21,8,8,0.9674636773961411,0.016824472810177314,0.7706450699846945,175.631396858157,8,0.7965622772100657
plantview__langdon_4__05-03-24,21,22,8,8,0.9744633182852707,0.009591266703534756,0.675430219612038,214.22613070666688,8,0.693130471858673
plantview__langdon_4__05-03-24,22,23,8,8,0.9925849306775741,0.009777626800709162,0.6675418214623203,52.035812607162875,8,0.6725286681580309
plantview__langdon_4__05-03-24,23,24,8,8,1.0562603565757156,0.017540334753343115,0.8457580557500403,397.28522755929544,8,0.8007098349235585
plantview__langdon_4__05-03-24,24,25,8,8,0.997810715685529,0.01242120243210864,0.7743164243389007,180.55507690211596,8,0.7760153425561477
plantview__langdon_4__05-03-24,25,26,8,8,0.9251058210872882,0.009338606491159147,0.6698564577353673,152.67459765911892,8,0.7240863071730289
plantview__langdon_4__05-03-24,26,27,8,8,1.0489372243984303,0.016305241957750283,0.6508748079244948,48.356632049666935,8,0.6205088281596395
plantview__langdon_4__05-03-24,27,28,8,8,1.0301261568877498,0.0133060133730547,0.8389690904540361,308.0024071601627,8,0.8144333437651525
plantview__langdon_4__05-03-24,28,29,8,5,0.9934288844586179,0.017071872094666204,0.7495020354480637,100.27738846831735,5,0.7544596771579827
plantview__langdon_4__05-03-24,29,30,8,7,0.9151244656282285,0.009090625464486501,0.6766689257331584,295.1585944208953,7,0.7394282976235681
plantview__langdon_4__05-03-24,30,31,8,8,1.0918807281194474,0.028358721463400606,0.7195556850810868,38.98429035453158,8,0.659005756352511
plantview__langdon_4__05-03-24,31,32,8,8,0.9830400142591603,0.024612842200542197,0.8290567910949694,110.62927783711672,8,0.8433601675103369
plantview__langdon_4__05-03-24,32,33,8,6,0.9283327614635379,0.009424928608601045,0.7497922465745747,301.0920139421436,6,0.8076761671025269
plantview__langdon_4__05-03-24,33,34,8,7,0.9346171667432354,0.008161421136973733,0.6541440382097188,190.42052871537294,7,0.6999058667937241
plantview__langdon_4__05-03-24,34,35,8,8,1.0409039245981102,0.017275286012882054,0.697696897408139,61.128813739305556,8,0.6702798221051166
plantview__langdon_4__05-03-24,35,36,8,8,1.0181599265009507,0.027124227989366024,0.8197092369304289,190.49856041847886,8,0.805088882006459
plantview__langdon_4__05-03-24,36,37,8,8,0.9534546969069809,0.017235400929591152,0.7694687345229484,262.32069861244895,8,0.8070322974118379
plantview__langdon_4__05-03-24,37,38,8,8,0.9428191988457031,0.006948816509039667,0.6581733489605671,186.57329685553756,8,0.6980907365551858
plantview__langdon_4__12-03-24,0,1,8,8,1.0130207469617893,0.019959563004363485,0.7898007677262561,137.95826919820283,8,0.7796491533811074
plantview__langdon_4__12-03-24,1,2,8,8,0.9428992062896997,0.015102080769567428,0.6820717408657314,270.27369496705495,8,0.7233771502997419
plantview__langdon_4__12-03-24,2,3,8,8,1.036595354143893,0.011972508200981353,0.6608003312054205,52.98238034418417,8,0.6374718240476435
plantview__langdon_4__12-03-24,3,4,8,8,1.0307434963349722,0.020563165210225928,0.8635210162561919,125.7857076229287,8,0.8377651853507926
plantview__langdon_4__12-03-24,4,5,8,7,0.9624026100869083,0.0223455507616483,0.8121083588979316,129.42685327781942,7,0.8438343271165852
plantview__langdon_4__12-03-24,5,6,8,6,0.9830230056522448,0.010875228548143932,0.6750425166793508,421.71691835575496,6,0.6867006293829857
plantview__langdon_4__12-03-24,6,7,8,8,1.0244285502513863,0.0064331269390758145,0.6742580753837452,148.27888056960913,8,0.6581796995195885
plantview__langdon_4__12-03-24,7,8,8,8,1.026569639033991,0.015547886643506963,0.8663575076249995,138.77399493155502,8,0.8439344733010494
plantview__langdon_4__12-03-24,8,9,8,8,0.9931536056230145,0.021672446509823775,0.794133467008143,141.805043477458,8,0.7996078980249745
plantview__langdon_4__12-03-24,9,10,8,8,0.9376072149860678,0.0133262392488164,0.707799012440114,422.60885516914567,8,0.7548992809858353
plantview__langdon_4__12-03-24,10,11,8,8,0.9995401382127224,0.015122246541008513,0.6829279096644346,99.91764713353986,8,0.6832421066007194
plantview__langdon_4__12-03-24,11,12,8,5,1.051607582381464,0.020957890160958004,0.8221911840556262,228.23689754512847,5,0.7818421983927667
plantview__langdon_4__12-03-24,12,13,8,8,0.9704064636874613,0.016083371747475983,0.8193857857476934,58.40173134518308,8,0.8443737922293898
plantview__langdon_4__12-03-24,13,14,8,8,0.9988658858280265,0.006167094554119486,0.6997760137629017,222.65059645142102,8,0.7005705407416238
plantview__langdon_4__12-03-24,14,15,8,8,1.065239556792619,0.013569454753835359,0.6583708177762646,31.70601628410623,8,0.6180495397284954
plantview__langdon_4__12-03-24,15,16,8,8,1.0450648008125694,0.022480418684871495,0.8549170500264974,149.50985315536363,8,0.8180517125462208
plantview__langdon_4__12-03-24,16,17,8,6,1.0177114321505687,0.011645139401206957,0.8131419492367798,100.16763208246391,6,0.798990680018692
plantview__langdon_4__12-03-24,17,18,8,8,0.9983754984951834,0.013540787268708004,0.6922900899422051,108.81989533509746,8,0.6934165461649148
plantview__langdon_4__12-03-24,18,19,8,8,1.0456861334680547,0.01041891879932077,0.6716749875239478,39.85958642438905,8,0.6423294390414399
plantview__langdon_4__12-03-24,19,20,8,8,1.0390544084760607,0.0191636138238632,0.8527605246808948,218.9243324343847,8,0.8207082494665553
plantview__langdon_4__12-03-24,20,21,8,8,1.0143608738693977,0.028721166766798614,0.8089164583647193,335.801914353978,8,0.7974641759189836
plantview__langdon_4__12-03-24,21,22,8,8,0.9909991152379629,0.016214598481567866,0.6891311750874006,327.7054383090906,8,0.6953903030699715
plantview__langdon_4__12-03-24,22,23,8,8,0.993032550219606,0.009878774958648966,0.6914730576487155,67.2225717838783,8,0.6963246647814297
plantview__langdon_4__12-03-24,23,24,8,8,1.069533145636465,0.017721972391688233,0.8461903027207224,82.75214027432087,8,0.7911772591368973
plantview__langdon_4__12-03-24,24,25,8,8,0.9167687681286527,0.024778076954596287,0.8271619204316613,67.04929800964118,8,0.90225796208143
plantview__langdon_4__12-03-24,25,26,8,8,0.9721370434113742,0.007235032696253273,0.6583661214983987,267.5569340154688,8,0.6772359164383794
plantview__langdon_4__12-03-24,26,27,8,8,0.9512247055283315,0.01555645861805475,0.6553559908172967,28.97648606479713,8,0.6889602288591709
plantview__langdon_4__12-03-24,27,28,8,8,1.1472500632986808,0.02433061693516096,0.8657387759086922,103.82170856504455,8,0.7546208133730139
plantview__langdon_4__12-03-24,28,29,8,8,0.919534413667301,0.019611432736871114,0.7600910333302838,66.96308641611911,8,0.826604227131508
plantview__langdon_4__12-03-24,29,30,8,8,0.9940989995127038,0.011859326778071617,0.6813881490668743,361.62099477185046,8,0.6854328888781531
plantview__langdon_4__12-03-24,30,31,8,8,0.9564777181420759,0.02070218482852009,0.6430568421981352,41.74278481593907,8,0.6723176400253739
plantview__langdon_4__12-03-24,31,32,8,8,1.1482778200785306,0.01861597628964964,0.8415615917598214,164.816809728069,8,0.7328902266023627
plantview__langdon_4__12-03-24,32,33,8,5,0.951265037650224,0.009743576618081815,0.8155527182734941,227.55737012239092,5,0.85733490246634
plantview__langdon_4__12-03-24,33,34,8,8,0.9697501133600634,0.011749425911078623,0.6602356379667197,177.6785538032918,8,0.6808306891340135
plantview__langdon_4__12-03-24,34,35,8,6,0.9447288324963562,0.00918677172611243,0.6387777884316314,40.18075290969778,6,0.676149352554131
plantview__langdon_4__12-03-24,35,36,8,8,1.1838054699493117,0.014960364362135431,0.8812154868308021,119.36679383996699,8,0.7443921397563183
plantview__langdon_4__12-03-24,36,37,8,8,0.9710844904149296,0.019657767023701183,0.7776614600266839,70.71845927528977,8,0.8008175063061722
plantview__langdon_4__12-03-24,37,38,8,8,0.9659066579549488,0.010287281364735118,0.6498624382468965,443.8877274664894,8,0.6728004542621208
plantview__langdon_4__15-04-24,0,1,8,8,1.0576089715494417,0.03807543827544371,0.7846170545067391,66.88827989081928,8,0.7418782136059626
plantview__langdon_4__15-04-24,1,2,8,8,0.9368893042591633,0.013861497068933318,0.8514766914467066,327.32268666990876,8,0.9088338265532917
plantview__langdon_4__15-04-24,2,3,8,5,0.9570217674597433,0.033548752061153694,0.6851353965059847,68.88074779782832,5,0.7159036709526093
plantview__langdon_4__15-04-24,3,4,8,8,1.0476684503925022,0.012967572068222086,0.9519090345371161,252.6392206548631,8,0.9085975951461452
plantview__langdon_4__15-04-24,4,5,8,8,0.9291309316022881,0.01575958488935321,0.7824704334616347,74.83060939733161,8,0.8421530344622828
plantview__langdon_4__15-04-24,5,6,8,8,1.0460227020340545,0.005142325564381903,0.8866094236752776,128.13755948478317,8,0.8476005558495164
plantview__langdon_4__15-04-24,6,7,8,8,0.927628745447797,0.025258232666407376,0.6922681403956199,34.96768027919598,8,0.7462771542956436
plantview__langdon_4__15-04-24,7,8,8,8,1.0427971252773645,0.023848929319712754,0.9626364353372515,115.98839054733486,8,0.9231291609872901
plantview__langdon_4__15-04-24,8,9,8,8,0.9443722309367959,0.015861666040891193,0.7911313791825144,134.70031283145178,8,0.8377325733071693
plantview__langdon_4__15-04-24,9,10,8,8,0.9982928556830644,0.013912949897184688,0.8641510102923255,170.76122221189308,8,0.8656287635165388
plantview__langdon_4__15-04-24,10,11,8,8,1.0110061348592805,0.04140306510613995,0.6752892682743421,42.88444748346249,8,0.6679378541736881
plantview__langdon_4__15-04-24,11,12,8,8,1.018823834876235,0.01611181476121714,0.9856923751102293,188.19272549068984,8,0.9674806785708635
plantview__langdon_4__15-04-24,12,13,8,8,0.962811342887129,0.020260078430725,0.8188568461211233,159.16171980991666,8,0.8504852504808083
plantview__langdon_4__15-04-24,13,14,8,8,1.0243059550802722,0.01266988396692317,0.8860681376808759,384.70759578881973,8,0.8650424546359656
plantview__langdon_4__15-04-24,14,15,8,8,0.9491760115109713,0.032952350097340447,0.6660945502034706,101.98159273221003,8,0.7017608347930434
plantview__langdon_4__15-04-24,15,16,8,8,1.104277299961593,0.02348985019204854,0.9989556678215102,199.3018629929852,8,0.9046239272112666
plantview__langdon_4__15-04-24,16,17,8,8,1.0204336361951878,0.023931735145396923,0.7911823964185504,110.36038501939666,8,0.7753393933274987
plantview__langdon_4__15-04-24,17,18,8,8,1.0536958707685653,0.021558166063206062,0.8926456995153467,209.72653860861868,8,0.8471568735144148
plantview__langdon_4__15-04-24,18,19,8,8,1.057105037916367,0.035069816457083826,0.7181220823979072,64.9087388223715,8,0.6793289754946014
plantview__langdon_4__15-04-24,19,20,8,8,1.0522523942675064,0.033346001381545136,0.9838243296559737,130.1765443579224,8,0.9349699131270052
plantview__langdon_4__15-04-24,20,21,8,8,0.931348943700947,0.009295657320366545,0.833302236831395,90.76054549750255,8,0.8947261308098563
plantview__langdon_4__15-04-24,21,22,8,8,1.0404557835823962,0.011660003052670306,0.8926244542197775,89.38043382513115,8,0.8579167594670672
plantview__langdon_4__15-04-24,22,23,8,8,1.0643051413551181,0.021083516180433345,0.7619847483961367,54.63282951866929,8,0.7159457553929934
plantview__langdon_4__15-04-24,23,24,8,7,1.0054357471838218,0.022849603390904177,0.9602545296732009,457.82502018332696,7,0.9550630483975019
plantview__langdon_4__15-04-24,24,25,8,8,0.8472029307609921,0.022432463307881734,0.8061904496936384,221.06567654559979,8,0.9515907233341195
plantview__langdon_4__15-04-24,25,26,8,8,1.0130280179279563,0.01669823382553655,0.8935418090809703,71.43227909321435,8,0.8820504401335486
plantview__langdon_4__15-04-24,26,27,8,8,1.0403518501195361,0.019713898544964952,0.726977671871289,79.57482052973856,8,0.6987805825382629
plantview__langdon_4__15-04-24,27,28,8,8,1.0512724187597517,0.021453464672186184,0.963209104289008,76.66347157257778,8,0.9162316894277154
plantview__langdon_4__15-04-24,28,29,8,6,0.9730672206947595,0.02141444926756271,0.8085792534011039,127.44606765754949,6,0.830959296752168
plantview__langdon_4__15-04-24,29,30,8,8,1.0318065632821904,0.01961305127127867,0.8996040690729534,82.31440752873263,8,0.8718727919420292
plantview__langdon_4__15-04-24,30,31,8,8,1.0416619979280202,0.023748271663522256,0.7268290551828192,31.821007787971666,8,0.6977590203238303
