sequence_id,n_frames,orient_rot_median,orient_rot_p90,orient_rot_mean,orient_rot_max,orient_gate,center_median_norm,center_p90_norm,center_trajectory_cosine,center_scale_estimated,center_scale_error,full_rot_median,full_rot_p90,full_center_median_norm,full_trajectory_cosine,full_pose_gate,diagnosis
mustc__plot198__230613__ugv__pos00,20,2.6450925404267487,5.131917871892058,2.571093309951821,6.119594274001205,PASS,0.08950564108051648,0.2077079797721615,0.990390235127022,3.1928751690498216,2.1928751690498216,2.6450925404267487,5.131917871892058,0.08950564108051648,0.990390235127022,PASS,BOTH_OK
plantview__langdon_4__05-03-24,320,44.048294779248394,81.7118257973001,44.95960145106578,83.54530650390527,FAIL,0.42947785446776143,0.8172979097102059,0.8385447134845962,1.2407571909149222,0.2407571909149222,44.048294779248394,81.7118257973001,0.42947785446776143,0.8385447134845962,FAIL,CENTER_OK_BUT_ORIENT_FAIL
plantview__langdon_4__12-03-24,320,48.74763774539907,85.81709155799636,48.955513101491135,89.92567026538981,FAIL,0.4883710892939108,0.8667697045207873,0.8219042530456931,1.0589441171211043,0.058944117121104256,48.74763774539907,85.81709155799636,0.4883710892939108,0.8219042530456931,FAIL,CENTER_OK_BUT_ORIENT_FAIL
plantview__langdon_4__15-04-24,318,53.09920911105454,88.84213061303946,50.79547585446174,92.74490298338227,FAIL,0.535306742771116,0.9045596796035078,0.813492964930771,1.1766134563687989,0.17661345636879888,53.09920911105454,88.84213061303946,0.535306742771116,0.813492964930771,FAIL,CENTER_OK_BUT_ORIENT_FAIL
plantview__langdon_4__19-03-24,320,44.2945567719285,81.82520557699532,45.215977958106734,83.57494617749971,FAIL,0.4469889225655346,0.8622613406079467,0.8342084430317547,1.2466539041507578,0.24665390415075783,44.2945567719285,81.82520557699532,0.4469889225655346,0.8342084430317547,FAIL,CENTER_OK_BUT_ORIENT_FAIL
wheat3dgs__plot_461,36,3.2777914305346396,5.699963746368441,3.354320253878153,7.490894165379704,PASS,0.16633888796426466,0.3508932639077691,0.9920722629825411,3.4160273201960916,2.4160273201960916,3.2777914305346396,5.699963746368441,0.16633888796426466,0.9920722629825411,PASS,BOTH_OK
wheat3dgs__plot_467,36,3.367544272687806,4.900709627676056,2.938289110691905,5.623903128504985,PASS,0.18643633572946383,0.34358190429014485,0.9899504559466036,3.1503714109483676,2.1503714109483676,3.367544272687806,4.900709627676056,0.18643633572946383,0.9899504559466036,PASS,BOTH_OK
