seq_id,pose_fail,n_computed,seq_anchor,anchor_mean,anchor_median,anchor_cv
plantview__langdon_4__05-03-24,False,320,1.0697653599328358,1.0727488137324208,1.0698049346807497,0.08298151202713425
plantview__langdon_4__12-03-24,True,320,1.2170427978071858,1.2174614121758955,1.2168848853376388,0.05224381984849314
plantview__langdon_4__13-02-24,False,340,1.0904870869048198,1.100903274038324,1.0917164077918788,0.07579652557101847
plantview__langdon_4__20-02-24,False,338,1.0408566765723641,1.0500972975401723,1.0412217777457844,0.06736175351838222
