sequence,pilot_index,original_index,filename,raw_absrel,raw_mae_m,raw_rmse_m,raw_delta1,scale_ratio,aligned_absrel,aligned_rmse_m,auto_raw_absrel,auto_raw_rmse_m,auto_scale_ratio
plantview__langdon_4__05-03-24,0,0,0000_eval.png,0.33279092459545856,0.3496445267794168,0.3943497301778495,0.11367252614032429,0.7934145535675924,0.23669649219924607,0.3813452541839443,0.3255880022790903,0.3875005124614606,0.8061231691105009
plantview__langdon_4__05-03-24,1,16,0016_eval.png,0.5559613307988853,0.5306303148075235,0.5666413159209055,0.07000561049749203,0.6377673063363335,0.17571428425034474,0.35879174276312825,0.5006582173059047,0.5161652943990084,0.6677867735556818
plantview__langdon_4__05-03-24,2,32,0032_eval.png,1.0722664697821387,1.2420661532068442,1.2818470740742032,0.0,0.5460504800220382,0.2661719155749132,0.33335307739539927,0.9937147211104149,1.1875898860103706,0.5678926498080898
plantview__langdon_4__05-03-24,3,48,0048_eval.png,0.46941952390304803,0.44308059540253875,0.46553267843736695,0.03978339745109122,0.6910196560536046,0.13812092836362658,0.300194137742461,0.41530512911648065,0.42010094262039077,0.7245337107786226
plantview__langdon_4__05-03-24,4,64,0064_eval.png,0.2340969867729385,0.26181739881920335,0.3255737435943714,0.3866292660121552,1.020437207967361,0.23758305059769544,0.33855335241311674,0.2329623691964309,0.3131018213804954,1.0568178647107829
plantview__langdon_4__05-03-24,5,80,0080_eval.png,0.6589681527785778,0.6136751185488704,0.8466920401578117,0.05142893113433212,0.586302037022029,0.14065559540125197,0.6786508761224099,0.5932151446099921,0.8037825013801819,0.6151169626366245
plantview__langdon_4__05-03-24,6,96,0096_eval.png,0.24233267869190714,0.3031008572059526,0.32533117326346284,0.05122969499188711,1.182090393245457,0.26770215381633067,0.3407538385457182,0.24163614933336117,0.34290028307432274,1.2238267226199675
plantview__langdon_4__05-03-24,7,112,0112_eval.png,0.6628279059793096,0.5980849275477287,0.6376340657245153,0.08557563074480656,0.5938666095835808,0.15265297512791498,0.3398799744733475,0.5860552358186595,0.5667876882356059,0.627204374220338
plantview__langdon_4__05-03-24,8,128,0128_eval.png,0.2917342314198134,0.4375172895993203,0.5107722027689566,0.1923129680941538,1.5509389480813673,0.22814382889293472,0.3119823067818413,0.29305920818641723,0.5126715282900705,1.554473912954137
plantview__langdon_4__05-03-24,9,144,0144_eval.png,0.19131699910199343,0.2029018889563067,0.2636314108738089,0.29526654011598547,0.9212186132256645,0.13995917231849944,0.26276128924073555,0.1544919312374902,0.25963817688135626,0.9675034683389577
plantview__langdon_4__05-03-24,10,160,0160_eval.png,0.261197043169748,0.29066519291165394,0.3600828555011674,0.3318721854939159,0.9756483014922611,0.2470881607975229,0.3375660520705679,0.2406790171343586,0.327871985666841,1.0065637094553737
plantview__langdon_4__05-03-24,11,176,0176_eval.png,0.276272309522358,0.281264955930232,0.3060589035597323,0.05838431566141857,0.8276350874083692,0.14377196922995003,0.2756578243540051,0.24145990737628228,0.2869123746159431,0.861736475342697
plantview__langdon_4__05-03-24,12,192,0192_eval.png,0.2612441575237065,0.29864961744964885,0.3868730762935217,0.3860132297089967,0.9392031948138,0.21751020569803253,0.3195070395241267,0.23077957349267134,0.34204054545395146,0.9734354978041935
plantview__langdon_4__05-03-24,13,208,0208_eval.png,0.4490308726725606,0.4272838330884908,0.45247433016655236,0.07670274670606325,0.7014962088920023,0.16174224958738673,0.3089719663216471,0.37740821337762204,0.3892238297623545,0.7489988043501804
plantview__langdon_4__05-03-24,14,224,0224_eval.png,1.018369634509499,1.2984250623344367,1.3375319197454114,0.0,0.5781205224933863,0.22898071039024345,0.33680773422162186,0.8895229337703946,1.1702111742348589,0.6185022754723323
plantview__langdon_4__05-03-24,15,240,0240_eval.png,0.6255508968320277,0.5625258738577257,0.6100183533290177,0.126488905728291,0.6010210846011877,0.15642870278633164,0.29820229638340745,0.5694032394564565,0.5555616494354124,0.6253547435353048
plantview__langdon_4__05-03-24,16,256,0256_eval.png,0.879812068629344,1.0390437921956563,1.0758234974675887,0.0,0.5295324816245867,0.18971274601441235,0.28762437577937927,0.7644973655255407,0.9371155035971708,0.563459595388652
plantview__langdon_4__05-03-24,17,272,0272_eval.png,1.0157918371104713,0.9554094533409008,0.9809739132155297,0.0010111628372628523,0.4781705048157539,0.12227841032440813,0.2460730515003546,0.9316993216135334,0.9011932474551649,0.4984860833554424
plantview__langdon_4__05-03-24,18,288,0288_eval.png,0.5424173211255678,0.5888542251383861,0.6577317990594923,0.1082600656578997,0.6299231079112037,0.1921055289388831,0.3128263647903749,0.4825588872477135,0.59402227440027,0.6549224710341255
plantview__langdon_4__05-03-24,19,304,0304_eval.png,0.7213556276940383,0.6854463882169812,0.7351844097478865,0.07727198207552326,0.5725295564258132,0.1493285528749714,0.2972500674494283,0.6402341745605453,0.6548937412050148,0.6036249253805054
plantview__langdon_4__12-03-24,0,0,0000_eval.png,0.6146723312600619,0.925362535567031,0.9978031846316997,0.0,3.163104239151827,0.30789434756895506,0.41369444204876965,0.6150390434816362,0.9978345444707483,3.1670847167058116
plantview__langdon_4__12-03-24,1,16,0016_eval.png,0.4935595019766188,0.5150394141595664,0.627945707476544,0.10105620360551432,0.665891797692759,0.13753818279234611,0.4464573770004477,0.4351732588676442,0.5742235901180802,0.698991664842176
plantview__langdon_4__12-03-24,2,32,0032_eval.png,0.5597717480892926,0.8401295226428486,0.913446242676124,0.0010285264845569773,2.5917018012485706,0.27155181377189436,0.36030976081334154,0.5376642268635907,0.8862999098403015,2.469071121177825
plantview__langdon_4__12-03-24,3,48,0048_eval.png,0.4702697356880486,0.4873829397204811,0.51604539952814,0.04215544664401232,0.687130220691703,0.1415085353774576,0.2885835219750973,0.4110183886269682,0.4564582452136658,0.722580480715674
plantview__langdon_4__12-03-24,4,64,0064_eval.png,0.3276856906893739,0.540657435882631,0.6674955855125265,0.13361462728551335,1.733817069977851,0.2835050915831902,0.4492910864441109,0.34108368713031245,0.6880397763281382,1.781507928500813
