seq_id,pose_fail,model,seq_anchor,abs_rel_mean,rmse_mean,scale_mean,scale_cv,delta1_mean,n
plantview__langdon_4__05-03-24,False,vggt_raw,,0.20499118309277287,0.43285591414924174,1.2696273674129355,0.16880263954701125,0.36182109126339446,320
plantview__langdon_4__05-03-24,False,da3_metric_direct,,0.21383007044623464,0.414882674525421,1.186174268973689,0.17987115805064596,0.29191733579609325,320
plantview__langdon_4__05-03-24,False,vggt_frame_anchor,1.0697653599328358,0.19462376370985718,0.4027645149485459,1.1905643693994734,0.1823540967327304,0.37943463882504397,320
plantview__langdon_4__05-03-24,False,vggt_seq_anchor,1.0697653599328358,0.17781141986379098,0.39729171019235227,1.1868278923264515,0.16880263954701127,0.4636876783544455,320
plantview__langdon_4__12-03-24,True,vggt_raw,,0.29934509498100315,0.545749552282901,1.5270858498975677,0.15766798154600836,0.05090263247072058,320
plantview__langdon_4__12-03-24,True,da3_metric_direct,,0.1981777933648708,0.4158444417443114,1.2344159068125324,0.16424963346174337,0.3262091649486111,320
plantview__langdon_4__12-03-24,True,vggt_frame_anchor,1.2170427978071858,0.18683261035908744,0.42123895134662953,1.2584616907947859,0.1687725412948074,0.403231555802375,320
plantview__langdon_4__12-03-24,True,vggt_seq_anchor,1.2170427978071858,0.1785226248206492,0.4168896900167892,1.2547511497944064,0.15766798154600836,0.43916008649409266,320
plantview__langdon_4__13-02-24,False,vggt_raw,,0.17101455927871795,0.3369421784420393,1.1345823449520667,0.1549027059377729,0.44207151943233813,340
plantview__langdon_4__13-02-24,False,da3_metric_direct,,0.18879420664606558,0.3169185168442357,1.0306319943400575,0.14744984724743765,0.35087245093218106,340
plantview__langdon_4__13-02-24,False,vggt_frame_anchor,1.0904870869048198,0.17915845294667784,0.31279041673468094,1.033004873616069,0.15096131748269384,0.3677679259433639,340
plantview__langdon_4__13-02-24,False,vggt_seq_anchor,1.0904870869048198,0.17142694852844698,0.3099277266684692,1.0404362954653634,0.1549027059377729,0.40138355863204545,340
plantview__langdon_4__20-02-24,False,vggt_raw,,0.19284244777239973,0.37420583487453085,1.1107314777082542,0.22114232775125142,0.37952516388165236,338
plantview__langdon_4__20-02-24,False,da3_metric_direct,,0.23291939922948052,0.3878353626001519,1.0474630780689116,0.2182426541276356,0.27389634322666273,338
plantview__langdon_4__20-02-24,False,vggt_frame_anchor,1.0408566765723641,0.22101610319703568,0.3757097025824789,1.0616085391981633,0.22375326328154568,0.2670463133299708,338
plantview__langdon_4__20-02-24,False,vggt_seq_anchor,1.0408566765723641,0.20474581288955016,0.36733589008258843,1.0671320103032764,0.22114232775125142,0.3195114088848364,338
