seq_id,pose_fail,model,evaluation_scope,n_frames,abs_rel_mean,abs_rel_median,rmse_mean,rmse_median,delta1_mean,scale_mean,scale_median,scale_cv
plantview__langdon_4__05-03-24,False,vggt,full,320,0.20499118309277287,0.2085519894420385,0.43285591414924174,0.40591265361402284,0.36182109126339446,1.2696273674129355,1.2363469154560338,0.16880263954701125
plantview__langdon_4__05-03-24,False,da3_metric,full,320,0.215699680817045,0.2049213723416269,0.4226428202106929,0.40719896850969367,0.29553441166845784,1.2042782594492931,1.1378366795075856,0.17949162781613998
plantview__langdon_4__05-03-24,False,unidepth_auto,full,320,0.3490968595969367,0.295484638612722,0.4862197046266797,0.4236845424014519,0.1601107737753184,1.0118794152943285,0.8747120092641559,0.43535032566802856
plantview__langdon_4__05-03-24,False,unidepth_calK,pilot_20,20,0.5381378486306695,0.505918422514308,0.6260379246539576,0.5387067593449311,0.12259545795257995,0.7678192927791696,0.664393481194969,0.33840589510292607
plantview__langdon_4__12-03-24,True,vggt,full,320,0.29934509498100315,0.28825609807457625,0.545749552282901,0.47669184435029655,0.05090263247072058,1.5270858498975677,1.4668471555873452,0.15766798154600836
plantview__langdon_4__12-03-24,True,da3_metric,full,320,0.19985828215923243,0.1752472608481026,0.42352428383159735,0.3699397827505378,0.3293940792911095,1.257610579640247,1.221191259712993,0.1623979135062664
plantview__langdon_4__12-03-24,True,unidepth_auto,full,320,0.389888745412941,0.37553767062276017,0.5445354603547177,0.5264438261353437,0.1219768729285059,0.9657557226066252,0.7756120083985155,0.5056931364215951
plantview__langdon_4__12-03-24,True,unidepth_calK,pilot_20,20,0.5298597094910796,0.5266656250329558,0.7320523286788128,0.7128206874285841,0.09187139175332139,1.3914779617367712,1.117075709140198,0.663360519565766
plantview__langdon_4__13-02-24,False,vggt,full,340,0.17101455927871795,0.1585835179579665,0.3369421784420393,0.32447374211243885,0.44207151943233813,1.1345823449520667,1.112080255414326,0.1549027059377729
plantview__langdon_4__13-02-24,False,da3_metric,full,340,0.1882986727294276,0.189115321507619,0.3222377098939094,0.2980372956732321,0.3578948623532162,1.036609920088091,1.0206570789531644,0.14831446426100156
plantview__langdon_4__13-02-24,False,unidepth_auto,full,340,0.37092579651066593,0.366680862967915,0.43192647844989135,0.4068373143603759,0.12210663691000397,1.0858748252109223,0.8597122009584472,0.4808871736105328
plantview__langdon_4__13-02-24,False,unidepth_calK,pilot_20,20,0.3821569390827347,0.38593371364120604,0.43735809304936824,0.38560700647281415,0.0644830256689431,1.1688353369886628,0.8174198227469976,0.5448611837441945
plantview__langdon_4__20-02-24,False,vggt,full,338,0.19284244777239973,0.1790910050466089,0.37420583487453085,0.3104246033307097,0.37952516388165236,1.1107314777082542,1.0514569259708764,0.22114232775125142
plantview__langdon_4__20-02-24,False,da3_metric,full,338,0.23108983065286096,0.22788390397184288,0.3906490827867984,0.34351109781732136,0.2836427618324765,1.0573388454706392,1.0020214193503283,0.2217991442243568
plantview__langdon_4__20-02-24,False,unidepth_auto,full,338,0.4366131668805318,0.4231184128934766,0.5088539221627797,0.4744482944000564,0.09721405242816135,0.9552897663243065,0.7400254474541343,0.4942021227318544
plantview__langdon_4__20-02-24,False,unidepth_calK,pilot_20,20,0.47640690541022784,0.4735264119072777,0.576871049303673,0.5467997543486343,0.09246099240086794,0.8714767905603175,0.6838486766357761,0.41521591270373226
