window_i,window_j,hop,q_ref_vs_meas_deg,gauge_fit_resid_i_deg,gauge_fit_resid_j_deg
0,1,1,3.1394,2.5139,4.1115
0,2,2,4.9111,2.5139,2.7866
1,2,1,2.2889,4.1115,2.7866
1,3,2,3.2903,4.1115,1.4626
2,3,1,0.8489,2.7866,1.4626
2,4,2,0.3269,2.7866,2.8967
3,4,1,0.935,1.4626,2.8967
3,5,2,1.6829,1.4626,2.2287
4,5,1,0.9923,2.8967,2.2287
