window_i,window_j,hop,q_ref_vs_meas_deg,gauge_fit_resid_i_deg,gauge_fit_resid_j_deg
0,1,1,2.1169,2.3918,3.7555
0,2,2,4.0812,2.3918,2.9052
1,2,1,1.9559,3.7555,2.9052
1,3,2,2.8315,3.7555,1.656
2,3,1,0.7607,2.9052,1.656
2,4,2,0.4817,2.9052,2.2336
3,4,1,0.7225,1.656,2.2336
3,5,2,1.435,1.656,1.4444
4,5,1,0.8552,2.2336,1.4444
